server_name,first_copy_of_ours,date_the_register_gives,where_it_answers
io.github.crypto-yannso/tryx402,2026-08-24,2026-08-24,no address in the record
io.github.nexus-mcp-infra/x402-receipt-verifier,2026-08-23,2026-08-23,x402-receipt-verifier-325572559480.us-central1.run.app
io.github.nexus-mcp-infra/new-x402-listings-feed,2026-08-23,2026-08-22,new-x402-listings-feed-325572559480.us-central1.run.app
io.github.ANAMIZED/x402-cloudflare-starter,2026-08-23,2026-08-23,no address in the record
io.github.Diogoup26/mcp-x402,2026-08-22,2026-08-22,mcp-x402-production.up.railway.app
app.run.europe-west1.x402-seller-202595743428/eudata402,2026-08-22,2026-08-22,x402-seller-202595743428.europe-west1.run.app
io.github.Autonomy-Labs-Tech/autonomy-x402-tools,2026-08-21,2026-08-21,www.autonomylabsweb.tech
store.etherealgoodsco/x402-tools,2026-08-20,2026-08-18,etherealgoodsco.store
org.x402card/freeland-esim,2026-08-20,2026-08-18,api.x402card.org
io.github.verixiaapps/hostdefi-x402,2026-08-20,2026-08-18,hostdefi.com
io.github.nock-for-mak/x402-checker,2026-08-20,2026-08-19,x402-checker.nock-for-mak.workers.dev
io.github.deriveit33z-ship-it/x402-apis,2026-08-20,2026-08-19,x402-apis-eta.vercel.app
com.twelvepermissions/x402-doctor,2026-08-20,2026-08-17,x402-doctor.tsharpe.workers.dev
io.github.verixiaapps/trustdex-x402,2026-08-16,2026-08-16,trustdex.app
io.github.AgentTanuki/x402-payment-safety,2026-08-16,2026-08-16,agent-guild-5d5r.onrender.com
io.github.apolito53/launchcheck-x402,2026-08-15,2026-08-15,launchcheck-x402.fly.dev
com.api402x/apix402,2026-08-15,2026-08-14,api402x.com
io.github.yunaremaia/x402-crypto-mcp,2026-08-14,2026-08-13,no address in the record
io.github.geoacpfilho/paygate-monetize-monetization-x402,2026-08-14,2026-08-14,paygate-mcp.rendercriativo.workers.dev
io.github.benji7891/macro-pulse-x402,2026-08-12,2026-08-12,macro-pulse-x402.onrender.com
com.mcpscores/x402-market-intelligence,2026-08-12,2026-08-12,mcpfax-intel.bowling-anthony.workers.dev
com.scriptmasterlabs/x402-gateway,2026-08-09,2026-08-08,acp-x402-scriptmasterlabs.onrender.com
io.github.ZadenGG/x402-snap,2026-08-07,2026-08-06,x402-snap.zaden-gaming.workers.dev
io.github.Senpi-Station/x402-web-extract,2026-08-04,2026-08-04,x402-web-extract.senpi-agent.workers.dev
io.github.michaelhutchings626-hub/alien-plugg-x402,2026-08-03,2026-08-03,base44.app
