model_id,model_name,listed_under,which_price,sealed_copy_before,sealed_copy_after,raw_per_token_before,raw_per_token_after,usd_per_million_before,usd_per_million_after,change
qwen/qwen3.6-27b,Qwen: Qwen3.6 27B,Qwen,input,2026-08-23,2026-08-24,0.0000006,0.00000032,0.60,0.32,down 46.7%
qwen/qwen3.6-27b,Qwen: Qwen3.6 27B,Qwen,output,2026-08-23,2026-08-24,0.0000036,0.0000032,3.60,3.20,down 11.1%
qwen/qwen3.5-397b-a17b,Qwen: Qwen3.5 397B A17B,Qwen,input,2026-08-23,2026-08-24,0.00000039,0.0000005,0.39,0.50,up 28.2%
qwen/qwen3.5-397b-a17b,Qwen: Qwen3.5 397B A17B,Qwen,output,2026-08-23,2026-08-24,0.00000234,0.0000036,2.34,3.60,up 53.8%
moonshotai/kimi-k2.5,MoonshotAI: Kimi K2.5,MoonshotAI,input,2026-08-23,2026-08-24,0.00000045,0.0000006,0.45,0.60,up 33.3%
moonshotai/kimi-k2.5,MoonshotAI: Kimi K2.5,MoonshotAI,output,2026-08-23,2026-08-24,0.00000225,0.000003,2.25,3.00,up 33.3%
deepseek/deepseek-v4-pro,DeepSeek: DeepSeek V4 Pro 0423,DeepSeek,input,2026-08-23,2026-08-24,0.000000396894,0.000000522174,0.396894,0.522174,up 31.6%
deepseek/deepseek-v4-pro,DeepSeek: DeepSeek V4 Pro 0423,DeepSeek,output,2026-08-23,2026-08-24,0.000000793788,0.000001044348,0.793788,1.044348,up 31.6%
deepseek/deepseek-v4-flash-0731,DeepSeek: DeepSeek V4 Flash 0731,DeepSeek,input,2026-08-23,2026-08-24,0.00000008,0.0000000658,0.08,0.0658,down 17.8%
deepseek/deepseek-v4-flash-0731,DeepSeek: DeepSeek V4 Flash 0731,DeepSeek,output,2026-08-23,2026-08-24,0.00000018,0.0000001316,0.18,0.1316,down 26.9%
deepseek/deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash 0423,DeepSeek,input,2026-08-23,2026-08-24,0.00000004886,0.000000056,0.04886,0.056,up 14.6%
deepseek/deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash 0423,DeepSeek,output,2026-08-23,2026-08-24,0.00000009772,0.000000112,0.09772,0.112,up 14.6%
thinkingmachines/inkling,Thinking Machines: Inkling,Thinking Machines,input,2026-08-22,2026-08-23,0.00000095,0.000001,0.95,1.00,up 5.3%
qwen/qwen3.8-27b,Qwen: Qwen3.8 27B,Qwen,input,2026-08-22,2026-08-23,0.00000045,0.0000004,0.45,0.40,down 11.1%
qwen/qwen3.8-27b,Qwen: Qwen3.8 27B,Qwen,output,2026-08-22,2026-08-23,0.0000032,0.000003,3.20,3.00,down 6.3%
qwen/qwen3-30b-a3b,Qwen: Qwen3 30B A3B,Qwen,input,2026-08-22,2026-08-23,0.00000013,0.00000012,0.13,0.12,down 7.7%
qwen/qwen3-30b-a3b,Qwen: Qwen3 30B A3B,Qwen,output,2026-08-22,2026-08-23,0.00000052,0.0000005,0.52,0.50,down 3.8%
openai/gpt-oss-120b,OpenAI: gpt-oss-120b,OpenAI,input,2026-08-22,2026-08-23,0.00000003,0.000000037,0.03,0.037,up 23.3%
moonshotai/kimi-k2.6,MoonshotAI: Kimi K2.6,MoonshotAI,input,2026-08-22,2026-08-23,0.0000005415,0.00000095,0.5415,0.95,up 75.4%
moonshotai/kimi-k2.6,MoonshotAI: Kimi K2.6,MoonshotAI,output,2026-08-22,2026-08-23,0.00000228,0.000004,2.28,4.00,up 75.4%
minimax/minimax-m2.7,MiniMax: MiniMax M2.7,MiniMax,input,2026-08-22,2026-08-23,0.0000003,0.00000024,0.30,0.24,down 20.0%
minimax/minimax-m2.7,MiniMax: MiniMax M2.7,MiniMax,output,2026-08-22,2026-08-23,0.0000012,0.00000096,1.20,0.96,down 20.0%
meta/muse-glimmer-30b,Meta: Muse Glimmer 30B,Meta,input,2026-08-22,2026-08-23,0.0000003,0.00000035,0.30,0.35,up 16.7%
meta/muse-glimmer-30b,Meta: Muse Glimmer 30B,Meta,output,2026-08-22,2026-08-23,0.0000011,0.0000015,1.10,1.50,up 36.4%
deepseek/deepseek-v4-pro-0813,DeepSeek: DeepSeek V4 Pro 0813,DeepSeek,input,2026-08-22,2026-08-23,0.000001188,0.000001122,1.188,1.122,down 5.6%
