State,Agency,Company,Site,Permit number,Date filed,Stage on the earlier copy,Stage on the later copy,What changed,Link to the agency paper,Earlier sealed copy,Later sealed copy
Texas,Texas environment agency,ALLEYTON RESOURCE COMPANY LLC,SMITH SAND & GRAVEL PLANT,140441L001,24 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413784-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,GCC SUN CITY MATERIALS LLC,PROJECT MDD150,177080L003,19 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413579-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,COOPER POWER SYSTEMS LLC,COOPER POWER SYSTEMS,184967,11 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413239-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,D&D READY MIX CONCRETE LLC,D & D READY MIX - CBP1 & CBP2,184997L001,12 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413382-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,HEREFORD CONCRETE INC,CONCRETE BATCH PLANT 5,184998L001,12 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413383-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,MICHELS ROAD & STONE INC,TRIPLE C QUARRY,185044,18 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413536-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,BIG BEND CONCRETE CO,TX-18,185060L001,19 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413566-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,LAN SE LLC,WELLS HILLSBORO STRUCTURAL,185072,19 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413618-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,MICHELS ROAD & STONE INC,CONCRETE BATCH PLANT 1,185090L001,20 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413715-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,BIG TOWN CONCRETE LLC,SOUTHPORT LOGISTICS CBP,185104L001,24 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413776-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,LALA CONSTRUCTION LLC,LALA KRUM PLANT,185139,25 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413947-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,BLUE PHANTOM LEASING LLC,CBP NO 3,185144,25 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413958-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,STANLEY BLACK & DECKER INC,STANLEY MECHANICS TOOLS,18963,14 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413461-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,INEOS USA LLC,CHOCOLATE BAYOU PLANT,19868,11 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413301-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,PAN-GLO SERVICES LLC,PAN GLO SERVICE,26275,24 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413775-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,TICONA POLYMERS INC,BISHOP FACILITY,2691,14 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413457-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,GRAPHIC PACKAGING INTERNATIONAL LLC,TEXARKANA MILL,2975,21 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413754-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,"PADUCAH GIN, LLC",PADUCAH GIN,36764,26 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413988-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,SUMMIT MATERIALS LLC,QK - PORTABLE 868,74214L008,20 Aug 2026,,Administrative Complete Application,Not on our 20 Aug 2026 copy,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/413712-ac.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,VALERO REFINING-TEXAS LP,VALERO REFINING HOUSTON REFINERY,124424,23 Feb 2026,Administrative Complete Application,Technically Complete Application,Administrative Complete Application → Technically Complete Application,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/405452-tc.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,TEXAS INTERNATIONAL TERMINALS LTD,OCM GALVESTON BULK MATERIALS HANDLING STORAGE TERMINAL,157170,23 Aug 2024,Administrative Complete Application,Technically Complete Application,Administrative Complete Application → Technically Complete Application,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/378866-tc.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,OLCV STRATOS DEVELOPMENT LLC,OXY USA,168854,21 Nov 2025,Administrative Complete Application,Technically Complete Application,Administrative Complete Application → Technically Complete Application,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/401285-tc.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,NORTH ROYAL ENERGY CENTER LLC,NORTH ROYAL ENERGY CENTER,"181815, GHGPSDTX262, PSDTX1682",10 Oct 2025,Administrative Complete Application,Technically Complete Application,Administrative Complete Application → Technically Complete Application,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/399049-tc.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,WILBARGER HUMANE SOCIETY,WILBARGER HUMANE SOCIETY,184013,11 May 2026,Administrative Complete Application,Technically Complete Application,Administrative Complete Application → Technically Complete Application,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/409279-tc.pdf,20 Aug 2026,10 Sep 2026
Texas,Texas environment agency,PET CREMATION,LITTLE BUDDIES PET CREMATION,184472,22 Jun 2026,Administrative Complete Application,Technically Complete Application,Administrative Complete Application → Technically Complete Application,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/411264-tc.pdf,20 Aug 2026,10 Sep 2026
