permit_id,jurisdiction,permit_number,record_type,permit_type,permit_class,status,issue_date,address,zip_code,zone,subdivision,valuation_usd,latitude,longitude,last_synced,apn
baton-rouge:177635,baton-rouge,177635,issued_permit,Manuf (HUD)/Mobile Home Placement (R),high_intent,,2026-05-22,19559 LIBERTY RD,70770,,,38000.0,30.6392902601617,-90.9812830778639,2026-06-24T22:20:57Z,
baton-rouge:176585,baton-rouge,176585,issued_permit,Existing Bldg - Addition Only (R),high_intent,,2026-05-22,9827 GREENWELL SPRINGS RD,70814,,NONE,15000.0,30.4900386118111,-91.076401005524,2026-06-24T22:20:57Z,
baton-rouge:181908,baton-rouge,181908,issued_permit,Existing Bldg - Remodel Only (R),moderate_intent,,2026-05-22,14054 LOCUST ST,70819,,OAK MANOR,135700.0,30.4598485304435,-91.028935983703,2026-06-24T22:20:57Z,
baton-rouge:182402,baton-rouge,182402,issued_permit,Existing Bldg - Remodel Only (R),moderate_intent,,2026-05-22,6720 S WOODGATE CT,70808,,WOODGATE,300000.0,30.3845898783588,-91.146227159892,2026-06-24T22:20:57Z,
baton-rouge:182098,baton-rouge,182098,issued_permit,Existing Bldg - Remodel Only (R),moderate_intent,,2026-05-22,9225 STARING CT,70810,,STARING PLACE,25000.0,30.3816396048697,-91.1112834119086,2026-06-24T22:20:57Z,
baton-rouge:179614,baton-rouge,179614,issued_permit,Existing Bldg - Remodel Only (R),moderate_intent,,2026-05-22,406 WESTMORELAND DR,70806,,OGDEN PARK,60000.0,30.4452517617835,-91.1539786854006,2026-06-24T22:20:57Z,
baton-rouge:182213,baton-rouge,182213,issued_permit,New Building Permit (R),high_intent,,2026-05-21,9444 DAWSON TRACE AVE,70836,,Dawson Bluff,200000.0,30.384333081301,-91.0801330237444,2026-06-24T22:20:57Z,
baton-rouge:182209,baton-rouge,182209,issued_permit,New Building Permit (R),high_intent,,2026-05-21,9431 DAWSON TRACE AVE,70836,,Dawson Bluff,200000.0,30.3845359554049,-91.0802622519103,2026-06-24T22:20:57Z,
baton-rouge:182216,baton-rouge,182216,issued_permit,New Building Permit (R),high_intent,,2026-05-21,7733 SILVERSIDE COVE DR,70810,,Silverside Cove,200000.0,30.3898920090506,-91.109048787797,2026-06-24T22:20:57Z,
baton-rouge:181948,baton-rouge,181948,issued_permit,Existing Bldg - Remodel Only (R),moderate_intent,,2026-05-21,2020 ELISSALDE ST,70808,,ZEE ZEE GARDENS,121700.0,30.4216294876583,-91.163045832829,2026-06-24T22:20:57Z,
baton-rouge:182063,baton-rouge,182063,issued_permit,New Building Permit (R),high_intent,,2026-05-21,1816 SEAWOLF DR,70810,,Silverside Cove,200000.0,30.390262249777,-91.1110769683091,2026-06-24T22:20:57Z,
baton-rouge:182350,baton-rouge,182350,issued_permit,Existing Bldg - Remodel Only (R),moderate_intent,,2026-05-21,1145 BOREAS DR,70816,,SOUTH RIVEROAKS,25000.0,30.4496756322995,-91.017189513531,2026-06-24T22:20:57Z,
baton-rouge:182256,baton-rouge,182256,issued_permit,New Building Permit (R),high_intent,,2026-05-20,1302 MARSHALL JONES SR. AVE,70791,,LAKE HAVEN,172536.0,30.636340364572,-91.1918833377834,2026-06-24T22:20:57Z,
baton-rouge:182406,baton-rouge,182406,issued_permit,Demolition Permit (R),high_intent,,2026-05-20,344 LOUISE ST,70802,,ADDITION TO SUBURB SWART,,30.43403100646,-91.1823071292054,2026-06-24T22:20:57Z,
baton-rouge:181444,baton-rouge,181444,issued_permit,Accessory Structure (R),moderate_intent,,2026-05-20,5949 HIGHLAND RD,70808,,University Acres,1.0,30.3894935850579,-91.1538300541861,2026-06-24T22:20:57Z,
baton-rouge:182258,baton-rouge,182258,issued_permit,New Building Permit (R),high_intent,,2026-05-20,1721 MARSHALL JONES SR. AVE,70791,,LAKE HAVEN,272064.0,30.636010558333,-91.187875755459,2026-06-24T22:20:57Z,
baton-rouge:181687,baton-rouge,181687,issued_permit,New Building Permit (R),high_intent,,2026-05-19,8120 LEMON RD,70777,,N/A,413000.0,30.7073393605361,-91.1196858281928,2026-06-24T22:20:57Z,
baton-rouge:178803,baton-rouge,178803,issued_permit,Existing Bldg - Addition Only (R),high_intent,,2026-05-19,1537 CARTER AVE,70806,,NORMANDY ACRES,93500.0,30.4358547970089,-91.1025078205695,2026-06-24T22:20:57Z,
baton-rouge:181406,baton-rouge,181406,issued_permit,Existing Bldg - Remodel Only (R),moderate_intent,,2026-05-19,2824 REBECCA LYNN AVE,70807,,HOLIDAY ACRES,39000.0,30.5534913387338,-91.1630720069834,2026-06-24T22:20:57Z,
baton-rouge:181959,baton-rouge,181959,issued_permit,New Building Permit (R),high_intent,,2026-05-18,933 ROBERTO AVE,70714,,Trivento,237975.0,30.5921658283361,-91.2002328066852,2026-06-24T22:20:57Z,
baton-rouge:181242,baton-rouge,181242,issued_permit,New Building Permit (R),high_intent,,2026-05-18,1755 VILLE MARIE ST,70808,,ROUZAN,850000.0,30.4062306009235,-91.1380233534056,2026-06-24T22:20:57Z,
baton-rouge:181999,baton-rouge,181999,issued_permit,New Building Permit (R),high_intent,,2026-05-18,7630 DEARBORNE DR,70817,,Materra,186810.0,30.3767775299386,-91.0303777239755,2026-06-24T22:20:57Z,
baton-rouge:181954,baton-rouge,181954,issued_permit,New Building Permit (R),high_intent,,2026-05-18,15839 GARRIGUE DR,70791,,Miraval,162300.0,30.5970651413149,-91.2071295037636,2026-06-24T22:20:57Z,
baton-rouge:181960,baton-rouge,181960,issued_permit,New Building Permit (R),high_intent,,2026-05-18,927 ROBERTO AVE,70714,,Trivento,194325.0,30.592182418914,-91.2003611244367,2026-06-24T22:20:57Z,
baton-rouge:182285,baton-rouge,182285,issued_permit,Demolition Permit (R),high_intent,,2026-05-18,816 W JOHNSON ST,70802,,SOUTH BATON ROUGE,,30.424226030484,-91.1873043477494,2026-06-24T22:20:57Z,
