DOT number,Docket,Town,State,Authority type,Grant date,Earlier sealed copy,Later sealed copy
3728462,MC1315188,San Diego,CA,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
4968563,MC45127595,Lumberton,MS,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
5679490,MC45669398,Springville,AL,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
7985919,MC46150698,Fairburn,GA,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
2558305,MC47922652,Orlando,FL,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
7096880,MC48398600,Jacksonville,FL,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
4294588,MC49403279,Deer Creek,MN,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
5921540,MC49990850,Piqua,OH,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
8704512,MC50548975,Des Moines,IA,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
7398161,MC50765747,Gastonia,NC,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
9568637,MC51627021,Chicago,IL,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
4970617,MC51940903,Tinley Park,IL,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
4568602,MC54331405,Piedmont,OK,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
8576821,MC54424412,Calgary,AB,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
8658798,MC56374866,Richmond Hill,ON,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
4578338,MC56642666,Las Vegas,NV,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
4978663,MC56663250,Miramar,FL,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
5218115,MC56761444,Valdosta,GA,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
6456355,MC56878246,Schaumburg,IL,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
8823143,MC57126075,Durham,NC,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
4577617,MC57380375,Collinsville,AL,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
9539664,MC58290556,West Des Moines,IA,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
4425060,MC58651259,Towaco,NJ,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
5615558,MC58962722,Centreville,VA,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
4556340,MC59149121,Leesburg,FL,Motor Carrier of Property (Except Household Goods),6 Sep 2026,6 Sep 2026,12 Sep 2026
