instance_id,snapshot_date,changeover_class,machines,jobs,naive_changeover_min,best_changeover_min,saved_min,saved_pct,best_max_machine_min
CA-2026-09-05-01,2026-09-05,size-progression,1,6,301,121,180,59.8,121
CA-2026-09-05-02,2026-09-05,colour-sequence,1,6,385,119,266,69.1,119
CA-2026-09-05-03,2026-09-05,tool-family,1,8,397,102,295,74.3,102
CA-2026-09-05-04,2026-09-05,size-progression,1,8,322,157,165,51.2,157
CA-2026-09-05-05,2026-09-05,size-progression,1,10,484,179,305,63.0,179
CA-2026-09-05-06,2026-09-05,size-progression,1,10,462,170,292,63.2,170
CA-2026-09-05-07,2026-09-05,allergen-cleandown,1,12,445,124,321,72.1,124
CA-2026-09-05-08,2026-09-05,size-progression,1,12,575,216,359,62.4,216
CA-2026-09-05-09,2026-09-05,size-progression,2,6,255,76,179,70.2,76
CA-2026-09-05-10,2026-09-05,allergen-cleandown,2,6,214,24,190,88.8,24
CA-2026-09-05-11,2026-09-05,tool-family,2,8,247,105,142,57.5,61
CA-2026-09-05-12,2026-09-05,tool-family,2,8,381,48,333,87.4,48
CA-2026-09-05-13,2026-09-05,allergen-cleandown,2,10,710,74,636,89.6,64
CA-2026-09-05-14,2026-09-05,size-progression,2,10,638,164,474,74.3,118
CA-2026-09-05-15,2026-09-05,colour-sequence,2,12,673,197,476,70.7,154
CA-2026-09-05-16,2026-09-05,colour-sequence,2,12,678,172,506,74.6,108
CA-2026-09-05-17,2026-09-05,size-progression,3,6,183,46,137,74.9,25
CA-2026-09-05-18,2026-09-05,size-progression,3,6,229,49,180,78.6,49
CA-2026-09-05-19,2026-09-05,colour-sequence,3,8,383,101,282,73.6,86
CA-2026-09-05-20,2026-09-05,size-progression,3,8,128,83,45,35.2,46
CA-2026-09-05-21,2026-09-05,tool-family,3,10,272,8,264,97.1,3
CA-2026-09-05-22,2026-09-05,colour-sequence,3,10,401,130,271,67.6,63
CA-2026-09-05-23,2026-09-05,size-progression,3,12,560,131,429,76.6,94
CA-2026-09-05-24,2026-09-05,colour-sequence,3,12,499,158,341,68.3,72
