id,permit_,permit_type,review_type,application_start_date,issue_date,processing_time,street_number,street_direction,street_name,work_description,building_fee_paid,zoning_fee_paid,other_fee_paid,subtotal_paid,building_fee_unpaid,zoning_fee_unpaid,other_fee_unpaid,subtotal_unpaid,building_fee_waived,building_fee_subtotal,zoning_fee_subtotal,other_fee_subtotal,zoning_fee_waived,other_fee_waived,subtotal_waived,total_fee,reported_cost,xcoordinate,ycoordinate,latitude,longitude,location,community_area,census_tract,ward,permit_status,permit_milestone,work_type,pin_list,permit_condition
1674612,100109616,PERMIT - SIGNS,SIGN PERMIT,2006-04-26T00:00:00.000,2006-04-26T00:00:00.000,0,835,N,MICHIGAN AVE,FRONT ELEVATION 387264,50,0,0,50,0,0,0,0,0,50,0,0,0,0,0,50,0,1177375.297250749,1906125.08793486,41.897740856252504,-87.62396131598219,"{'type': 'Point', 'coordinates': [-87.623961315982, 41.897740856253]}",,,,,,,,
1688922,100118245,PERMIT - SIGNS,SIGN PERMIT,2006-06-13T00:00:00.000,2006-06-13T00:00:00.000,0,2140,W,DIVISION ST,FRONT OF STORE 387570,52,0,0,52,0,0,0,0,0,52,0,0,0,0,0,52,0,1161738.8381383354,1908001.1359252792,41.90322929302484,-87.68133976093554,"{'type': 'Point', 'coordinates': [-87.681339760936, 41.903229293025]}",,,,,,,,
3390256,101058506,PERMIT - SIGNS,SIGN PERMIT,2024-08-26T00:00:00.000,2024-10-29T00:00:00.000,64,1857,W,16TH ST,1. BUSINESS ICON HAND PAINTED ON BRICK WALL (APPROX 5' X 5' AND APPROX 13' ABOVE GRADE),0,200,0,200,50,0,0,50,0,50,200,0,0,0,0,250,750,1164006.5064937063,1892048.5695079283,41.859406533938085,-87.67346070900182,"{'type': 'Point', 'coordinates': [-87.673460709002, 41.859406533938]}",31,310900,25,,,,,
3392045,101059488,PERMIT - SIGNS,SIGN PERMIT,2024-09-09T00:00:00.000,2024-11-07T00:00:00.000,59,6054,N,BROADWAY,AWNING ON EAST ELEVATION,100,200,0,300,0,0,0,0,0,100,200,0,0,0,0,300,4000,1167158.7674604515,1940577.4497330487,41.99250536850696,-87.6604919629177,"{'type': 'Point', 'coordinates': [-87.660491962918, 41.992505368507]}",77,30200,48,,,,,
2528200,B100522727,PERMIT – EXPRESS PERMIT PROGRAM,EXPRESS PERMIT PROGRAM,2013-12-31T00:00:00.000,2014-04-28T00:00:00.000,118,9309,S,PRINCETON AVE,INSTALLATION OF LOW VOLTAGE BURGLAR ALARM # 4000-73191-01 RESI,50,0,0,50,0,0,0,0,0,50,0,0,0,0,0,50,124,1176238.70864301,1843251.74500976,,,,,,,COMPLETE,COMPLETE,Electrical Work,,
2705067,B100621794,PERMIT – EXPRESS PERMIT PROGRAM,EXPRESS PERMIT PROGRAM,2015-11-02T00:00:00.000,2015-11-02T00:00:00.000,0,1755,N,DAMEN AVE,RUN 76 DATA CABLES,50,0,0,50,0,0,0,0,0,50,0,0,0,0,0,50,8000,1162814.01163885,1911912.60303445,,,,,,,COMPLETE,COMPLETE,Electrical Work,,
2732517,B100636445,PERMIT – EXPRESS PERMIT PROGRAM,EXPRESS PERMIT PROGRAM,2016-02-23T00:00:00.000,2016-02-23T00:00:00.000,0,324,S,WESTERN AVE,INSTALLATION OF LOW VOLTAGE BURGLAR ALARM INTERIOR WORK ONLY # 340-13814,75,0,0,75,0,0,0,0,0,75,0,0,0,0,0,75,175,1160373.39272147,1898368.1306996,,,,,,,COMPLETE,COMPLETE,Electrical Work,,
3054723,B100831483,PERMIT – EXPRESS PERMIT PROGRAM,EXPRESS PERMIT PROGRAM,2019-10-02T00:00:00.000,2019-10-02T00:00:00.000,0,7445,S,WESTERN AVE,NON REQUIRED FIRE ALARM INSTALLATION,75,0,0,75,0,0,0,0,0,75,0,0,0,0,0,75,8000,1161711.8319874322,1855018.3567850033,,,,,,,COMPLETE,COMPLETE,Fire Alarm System,,
3136119,B100884766,PERMIT – EXPRESS PERMIT PROGRAM,EXPRESS PERMIT PROGRAM,2020-07-30T00:00:00.000,2020-07-30T00:00:00.000,0,238,N,STATE ST,INSTALLATIONS SOUND SYSTEM,75,0,0,75,0,0,0,0,0,75,0,0,0,0,0,75,900,1176277.8531064074,1902104.4877901683,,,,,,,COMPLETE,COMPLETE,Electrical Work,,
1610340,100070717,PERMIT - SIGNS,SIGN PERMIT,2005-10-03T00:00:00.000,2006-01-27T00:00:00.000,116,1,N,HALSTED ST,WEST ELEVATION...386314,52.5,0,0,52.5,0,0,0,0,0,52.5,0,0,0,0,0,52.5,0,1171090.9679868314,1900270.4540166913,41.88181563164203,-87.64721471704077,"{'type': 'Point', 'coordinates': [-87.647214717041, 41.881815631642]}",,,,,,,,
1657925,100099440,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2006-03-03T00:00:00.000,2006-03-03T00:00:00.000,0,2743,W,THOMAS ST,ERECT CHAIN LINK TEMPORARY FENCE 6' TALL AND 132' LONG.,56,75,0,131,0,0,0,0,0,56,75,0,0,0,0,131,1300,1157727.1412270723,1907160.1168195568,41.90100418745438,-87.69609852291984,"{'type': 'Point', 'coordinates': [-87.69609852292, 41.901004187454]}",,,,,,,,
1660335,100100846,PERMIT - SIGNS,SIGN PERMIT,2006-03-10T00:00:00.000,2006-03-10T00:00:00.000,0,3452,W,MONTROSE AVE,ON EAST ELEVATION 386920,88,0,0,88,0,0,0,0,0,88,0,0,0,0,0,88,0,1152343.829257073,1929061.6117416664,41.96121170075762,-87.71529205890847,"{'type': 'Point', 'coordinates': [-87.715292058908, 41.961211700758]}",,,,,,,,
