Government,Level,Body,Docket number,Subject,Meeting date,What moved,Sealed before,Sealed after
Chicago,meeting,"Committee on Zoning, Landmarks and Building Standards",,,2026-09-17,Added to the calendar,2026-09-13,2026-09-14
Chicago,meeting,Committee on License and Consumer Protection,,,2026-09-09,"Agenda stamped published again, same address",2026-09-13,2026-09-14
Phoenix,agenda item,City Council Formal Meeting,26-1910,"Name Change on Multiple City Agreements to Quint Holdings, Inc. dba Haydon Companies, LLC - Districts 1 & 2",,“and” -> “&”,2026-09-13,2026-09-14
Seattle,meeting,Public Safety Committee,,,2026-09-15,Added to the calendar,2026-09-11,2026-09-12
Seattle,agenda item,"Human Services, Labor, and Economic Development Committee",CB 121267,An ordinance relating to prohibiting algorithmic-based price discrimination; requiring covered retailer disclosures to consumers; requiring that covered retailers retain certain records; and adding a new Chapter 7.35 to the Seattle Municipal Code.,,In Committee -> Full Council Agenda Ready,2026-09-11,2026-09-12
Seattle,agenda item,"Housing, Arts, and Civil Rights Committee",CB 121278,"An ordinance relating to civil rights protections for diverse sexual orientations and relationship structures; amending the definition of the sexual orientation protected class to recognize gender identities outside the gender binary, recognize pansexuality and asexuality as orientations, and include consensual relationships with multiple partners as an element of attitudes, preferences, and practices pertaining to sexual orientation; and amending Sections 3.14.910, 3.14.931, 4.80.020, 6.02.270, 6.202.230, 14.04.030, 14.06.020, 14.08.020, 14.11.020, and 18.12.280 of the Seattle Municipal Code.",,Committee Agenda Ready -> Full Council Agenda Ready,2026-09-11,2026-09-12
Seattle,agenda item,"Housing, Arts, and Civil Rights Committee",Appt 03569,Appointment of Kelli Larsen as Director of the Office of Housing.,,Committee Agenda Ready -> Full Council Agenda Ready,2026-09-11,2026-09-12
Seattle,agenda item,Council Briefing,Inf 2819,City Council Agenda (2026),,Heard in Committee -> Committee Agenda Ready,2026-09-11,2026-09-12
Los Angeles County,agenda item,Los Angeles County Affordable Housing Solutions Agency,26-5836,Approval of Employment Agreement with Martha Arana for Board Secretary Position.,,“___________” -> “Martha Arana”,2026-09-11,2026-09-12
Los Angeles County,agenda item,Commission on Local Governmental Services,26-5790,"The scheduled meeting of the Los Angeles Commission on Local Governmental Services for Friday, September 11, 2026, has been canceled due to a lack of quorum. The next meeting is scheduled for Friday, October 9, 2026. Should you have any questions or require additional information, please contact the Commission at lgs@bos.lacounty.gov or via telephone at (213) 974-1431.",,On Agenda -> Filed,2026-09-11,2026-09-12
Columbus,agenda item,"Housing, Homelessness, & Building Committee",2299-2026,"To authorize the Director of the Department of Development to enter into a planned modification of a contract with Kenneth Burgess dba Savoir Faire Solutions LLC, to extend the contract term end date from December 31, 2026, to December 31, 2027, as well as to increase funding in an amount up to $100,000.00 for lead abatement and healthy home repair services utilized an existing auditor’s certificate established for this purpose. ($100,000.00)",,Consent -> Second Reading,2026-09-08,2026-09-12
Los Angeles County,agenda item,Commission on Insurance,26-4384,"Adjournment for the Commission on Insurance September 2, 2026 meeting.",,On Agenda -> Filed,2026-09-04,2026-09-12
Los Angeles County,agenda item,Commission on Insurance,26-4382,Matters not on the posted agenda to be discussed and (if requested) placed on an agenda for action at a future meeting of the Commission.,,On Agenda -> Filed,2026-09-04,2026-09-12
Los Angeles County,agenda item,Commission on Insurance,26-4381,Receive and File Ad-hoc Committee report of Los Angeles County Wildfires.,,Moved to the 4 Nov 2026 agenda,2026-09-04,2026-09-12
Los Angeles County,agenda item,Commission on Insurance,26-4380,Review and take appropriate action on the following Standing Subcommittee Report of the Commission on Insurance: · EARTHQUAKE · FIRE AWARENESS INSURANCE AND FLOOD PREPAREDNESS · MARKETING AND COMMUNITY OUTREACH · LEGISLATION AND HEALTH INSURANCE · INSURANCE FRAUD,,Moved to the 4 Nov 2026 agenda,2026-09-04,2026-09-12
Los Angeles County,agenda item,Commission on Insurance,26-4379,Receive and file the Commission on Insurance Chair’s Report.,,Moved to the 4 Nov 2026 agenda,2026-09-04,2026-09-12
Seattle,agenda item,Council Briefing,Inf 2818,Council Briefing Minutes (2026),,Heard in Committee -> Committee Agenda Ready,2026-08-18,2026-09-12
Los Angeles County,agenda item,Commission on Local Governmental Services,26-3544,"The scheduled meeting of the Los Angeles Commission on Local Governmental Services for Friday, July 12, 2026, has been canceled. The next meeting is scheduled for Friday, August 14, 2026. Should you have any questions or require additional information, please contact the Commission at lgs@bos.lacounty.gov or via telephone at (213) 974-1431.",,On Agenda -> Filed,2026-06-23,2026-09-12
Seattle,agenda item,Select Committee on Federal Administration and Policy Changes,Inf 2951,Welcoming City Data and Privacy Protections - Resolution 32194,,Committee Agenda Ready -> Heard in Committee,2026-09-10,2026-09-11
Seattle,agenda item,Public Safety Committee,Res 32217,"A resolution declaring the Seattle City Council’s intent for the City of Seattle to implement an evidence-based, comprehensive gun violence reduction strategy, that includes partnering with national experts who have helped other cities significantly reduce gun violence, such as the National Network for Safe Communities (NNSC) at John Jay College.",,Wording rewritten,2026-09-10,2026-09-11
Los Angeles County,agenda item,Los Angeles County Leadership Table for the Regional Homeless Alignment,26-5759,"Updates and Discussion on the LTRHA Coordination Agenda a. Continuum of Care Updates · Angela Park, County Counsel · Dr. Richard Cho, Manatt Health · Gita O’Neill, LA Homeless Services Authority b. HMIS and Data Blueprint · Rose Buenaventura, Dept. of Homeless Services and Housing · Jasper Cooper, Dept. of Homeless Services and Housing c. Additional Coordination Agenda Item Updates",,Wording rewritten,2026-09-10,2026-09-11
Los Angeles County,agenda item,Los Angeles County Leadership Table for the Regional Homeless Alignment,26-5757,"Presentation and Discussion of the Current State of LA County’s Homeless Services System Landscape from the Perspective of Homeless Service Providers and Persons with Lived Experience. · Jerry Jones, Greater LA Coalition on Homelessness · Erika Hartman, Covenant House California · Patima Komolamit, Center for the Pacific Asian Family · Brandon Scoggan, Hope the Mission · La’Toya Cooper, LA Emissary · Alexis Obinna, LA Emissary",,Wording rewritten,2026-09-10,2026-09-11
Los Angeles County,agenda item,Los Angeles County Leadership Table for the Regional Homeless Alignment,26-5752,HSH Measure A Spending Plan Community Engagement Opportunities.,,added “Measure A”,2026-09-10,2026-09-11
Los Angeles County,agenda item,Los Angeles County Affordable Housing Solutions Agency Investment Review Committee,26-5447,Call to Order and Roll Call.,,On Agenda -> Filed,2026-09-10,2026-09-11
Los Angeles County,agenda item,Commission for Women,26-5257,"Approval of the August 10, 2026, Minutes.",,Wording rewritten,2026-09-10,2026-09-11
