jurisdiction,cite,prong,official_words,source_url
California,Cal. Lab. Code 2775,Control over how the work is done,"…contractor unless the hiring entity demonstrates that all of the following conditions are satisfied: (A) The person is free from the control and direction of the hiring entity in connection with the performance of the work, both under the contract for the performance of the work and in fact.",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=2775.&lawCode=LAB
California,Cal. Lab. Code 2775,Whether the work sits outside the hiring firm's usual business,(B) The person performs work that is outside the usual course of the hiring entity's business.,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=2775.&lawCode=LAB
California,Cal. Lab. Code 2775,Whether the worker has an independent business of their own,"(C) The person is customarily engaged in an independently established trade, occupation, or business of the same nature as that involved in the work performed.",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=2775.&lawCode=LAB
Hawaii,HRS 383-6,Control over how the work is done,"…exists unless and until it is shown to the satisfaction of the department of labor and industrial relations that: (1) The individual has been and will continue to be free from control or direction over the performance of such service, both under the individual's contract of hire and in fact;",https://www.capitol.hawaii.gov/hrscurrent/Vol07_Ch0346-0398/HRS0383/HRS_0383-0006.htm
Hawaii,HRS 383-6,Whether the work sits outside the hiring firm's usual business,(2) The service is either outside the usual course of the business for which the service is performed or that the service is performed outside of all the places of business of the enterprise for which the service is performed;,https://www.capitol.hawaii.gov/hrscurrent/Vol07_Ch0346-0398/HRS0383/HRS_0383-0006.htm
Hawaii,HRS 383-6,Whether the worker has an independent business of their own,"and (3) The individual is customarily engaged in an independently established trade, occupation, profession, or business of the same nature as that involved in the contract of service.",https://www.capitol.hawaii.gov/hrscurrent/Vol07_Ch0346-0398/HRS0383/HRS_0383-0006.htm
Idaho,Idaho Code 72-1316,Control over how the work is done,"…by an individual for remuneration shall, for the purposes of the employment security law, be covered employment unless it is shown: (a) That the worker has been and will continue to be free from control or direction in the performance of his work, both under his contract of service and in fact;",https://legislature.idaho.gov/statutesrules/idstat/Title72/T72CH13/SECT72-1316/
Idaho,Idaho Code 72-1316,Whether the worker has an independent business of their own,"and (b) That the worker is engaged in an independently established trade, occupation, profession, or business.",https://legislature.idaho.gov/statutesrules/idstat/Title72/T72CH13/SECT72-1316/
Maine,26 M.R.S. 1043,Control over how the work is done,"…it is shown to the satisfaction of the bureau that the individual is free from the essential direction and control of the employing unit, both under the individual's contract of service and in fact, and the employing unit proves that the individual meets all of the criteria in subparagraph…",https://legislature.maine.gov/statutes/26/title26sec1043.html
Maine,26 M.R.S. 1043,Whether the work sits outside the hiring firm's usual business,(f) The work is outside the usual course of business for which the service is performed;,https://legislature.maine.gov/statutes/26/title26sec1043.html
Maine,26 M.R.S. 1043,Whether the worker has an independent business of their own,"(b) The individual is customarily engaged in an independently established trade, occupation, profession or business;",https://legislature.maine.gov/statutes/26/title26sec1043.html
Massachusetts,Mass. Gen. Laws c.149 148B,Control over how the work is done,"…any service, except as authorized under this chapter, shall be considered to be an employee under those chapters unless:— (1) the individual is free from control and direction in connection with the performance of the service, both under his contract for the performance of service and in fact;",https://malegislature.gov/laws/generallaws/parti/titlexxi/chapter149/section148B
Massachusetts,Mass. Gen. Laws c.149 148B,Whether the work sits outside the hiring firm's usual business,and (2) the service is performed outside the usual course of the business of the employer;,https://malegislature.gov/laws/generallaws/parti/titlexxi/chapter149/section148B
Massachusetts,Mass. Gen. Laws c.149 148B,Whether the worker has an independent business of their own,"and, (3) the individual is customarily engaged in an independently established trade, occupation, profession or business of the same nature as that involved in the service performed.",https://malegislature.gov/laws/generallaws/parti/titlexxi/chapter149/section148B
Nebraska,Neb. Rev. Stat. 48-604,Control over how the work is done,"…commissioner that (a) such individual has been and will continue to be free from control or direction over the performance of such services, both under his or her contract of service and in fact, (b) such service is either outside the usual course of the business for which such service is…",https://nebraskalegislature.gov/laws/statutes.php?statute=48-604
Nebraska,Neb. Rev. Stat. 48-604,Whether the work sits outside the hiring firm's usual business,"…his or her contract of service and in fact, (b) such service is either outside the usual course of the business for which such service is performed or such service is performed outside of all the places of business of the enterprise for which such service is performed, and (c) such individual…",https://nebraskalegislature.gov/laws/statutes.php?statute=48-604
Nebraska,Neb. Rev. Stat. 48-604,Whether the worker has an independent business of their own,"…of the business for which such service is performed or such service is performed outside of all the places of business of the enterprise for which such service is performed, and (c) such individual is customarily engaged in an independently established trade, occupation, profession, or business.",https://nebraskalegislature.gov/laws/statutes.php?statute=48-604
Nevada,NRS 612,Control over how the work is done,"The person has been and will continue to be free from control or direction over the performance of the services, both under his or her contract of service and in fact;",https://www.leg.state.nv.us/nrs/nrs-612.html
Nevada,NRS 612,Whether the work sits outside the hiring firm's usual business,The service is either outside the usual course of the business for which the service is performed or that the service is performed outside of all the places of business of the enterprises for which the service is performed;,https://www.leg.state.nv.us/nrs/nrs-612.html
Nevada,NRS 612,Whether the worker has an independent business of their own,"The service is performed in the course of an independently established trade, occupation, profession or business in which the person is customarily engaged, of the same nature as that involved in the contract of service.",https://www.leg.state.nv.us/nrs/nrs-612.html
New Hampshire,RSA 282-A:9,Control over how the work is done,"…chapter unless and until it is shown to the satisfaction of the commissioner of the department of employment security that: (a) Such individual has been and will continue to be free from control or direction over the performance of such services, both under his contract of service and in fact;",https://www.gencourt.state.nh.us/rsa/html/XXIII/282-A/282-A-9.htm
New Hampshire,RSA 282-A:9,Whether the work sits outside the hiring firm's usual business,and (b) Such service is either outside the usual course of the business for which such service is performed or that such service is performed outside of all the places of business of the enterprise for which such service is performed;,https://www.gencourt.state.nh.us/rsa/html/XXIII/282-A/282-A-9.htm
New Hampshire,RSA 282-A:9,Whether the worker has an independent business of their own,"and (c) Such individual is customarily engaged in an independently established trade, occupation, profession, or business.",https://www.gencourt.state.nh.us/rsa/html/XXIII/282-A/282-A-9.htm
New Jersey,"New Jersey Department of Labor, independent contractors (N.J.S.A. 43:21-19(i)(6))",Control over how the work is done,"…Compensation Law 43:21-19(i)6(A)(B)(C), a worker should be considered an employee unless all the following circumstances apply: The individual has been and will continue to be free from control or direction over the performance of work performed, both under contract of service and in fact;",https://www.nj.gov/labor/myworkrights/worker-protections/independent_contractors/
New Jersey,"New Jersey Department of Labor, independent contractors (N.J.S.A. 43:21-19(i)(6))",Whether the work sits outside the hiring firm's usual business,"and The work is either outside the usual course of the business for which such service is performed, or the work is performed outside of all the places of business of the enterprise for which such service is performed;",https://www.nj.gov/labor/myworkrights/worker-protections/independent_contractors/
