site_id,state,filed_under,sealed_set_before,sealed_set_after,picture_taken_before,picture_taken_after,scene_id_before,scene_id_after,bare_ground_before,bare_ground_after,move_in_points
meta-kuna-id,ID,meta,2026-08-10,2026-08-17,2026-07-28T18:42:34.413000Z,2026-08-10T18:52:29.609000Z,S2A_11TNJ_20260728_0_L2A,S2A_11TNJ_20260810_1_L2A,0.893677,0.645203,-24.8
meta-temple-tx,TX,meta,2026-08-10,2026-08-17,2026-07-27T17:25:09.686000Z,2026-08-16T17:25:06.328000Z,S2B_14RPV_20260727_0_L2A,S2B_14RPV_20260816_0_L2A,0.511047,0.701355,+19.0
google-omaha-ne,NE,google,2026-08-10,2026-08-17,2026-08-01T17:22:27.420000Z,2026-08-13T17:22:42.246000Z,S2C_15TTF_20260801_0_L2A,S2A_15TTF_20260813_0_L2A,0.290686,0.138123,-15.3
google-lincoln-ne,NE,google,2026-08-10,2026-08-17,2026-07-27T17:22:30.063000Z,2026-08-11T17:22:28.728000Z,S2B_14TPL_20260727_0_L2A,S2C_14TPL_20260811_0_L2A,0.477905,0.354553,-12.3
google-fort-wayne-in,IN,google,2026-08-10,2026-08-17,2026-08-04T16:42:06.675000Z,2026-08-09T16:42:06.542000Z,S2B_16TFL_20260804_0_L2A,S2C_16TFL_20260809_0_L2A,0.429396,0.540648,+11.1
google-midlothian-tx,TX,google,2026-08-10,2026-08-17,2026-08-03T17:14:43.915000Z,2026-08-16T17:24:37.716000Z,S2B_14SPB_20260803_0_L2A,S2B_14SPB_20260816_0_L2A,0.598558,0.705480,+10.7
stargate-abilene-tx,TX,stargate,2026-08-10,2026-08-17,2026-07-27T17:24:47.686000Z,2026-08-16T17:24:58.997000Z,S2B_14SMB_20260727_0_L2A,S2B_14SMA_20260816_0_L2A,0.854370,0.953244,+9.9
coreweave-denton-tx,TX,coreweave,2026-08-10,2026-08-17,2026-08-01T17:24:41.600000Z,2026-08-16T17:24:37.716000Z,S2C_14SPB_20260801_0_L2A,S2B_14SPB_20260816_0_L2A,0.842834,0.928406,+8.6
stargate-shackelford-tx,TX,stargate,2026-08-10,2026-08-17,2026-08-04T17:34:43.502000Z,2026-08-16T17:24:49.464000Z,S2C_14SMB_20260804_0_L2A,S2B_14SMB_20260816_0_L2A,0.887592,0.804749,-8.3
google-papillion-ne,NE,google,2026-08-10,2026-08-17,2026-08-01T17:22:27.420000Z,2026-08-13T17:22:42.246000Z,S2C_15TTF_20260801_0_L2A,S2A_15TTF_20260813_0_L2A,0.602298,0.528137,-7.4
