Datacenter named in the filing,Company on the filing,City,State,Agency list,Case or permit number,What this filing is for,Where it has got to,Date received,Sealed copy,What the agency's filing says,Agency document
ADC PLANO,ALIGNED DATA CENTERS REIT LLC,,TX,Texas air permit applications waiting on a decision,131651,Air permit for the site,Technically Complete Application,30 Mar 2026,3 Sep 2026,,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/407086-tc.pdf
GOODNIGHT DATA CENTER,CRUSOE ENERGY SYSTEMS LLC,,TX,Texas air permit applications waiting on a decision,"182880, GHGPSDTX268, PSDTX1698",Air permit for the site,Administrative Complete Application,30 Jan 2026,3 Sep 2026,,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/404507-ac.pdf
LONGHORN DATA CENTER,CRUSOE ENERGY SYSTEMS LLC,,TX,Texas air permit applications waiting on a decision,"182126, GHGPSDTX263, PSDTX1688",Air permit for the site,Technically Complete Application,7 Nov 2025,3 Sep 2026,,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/400428-tc.pdf
NEXUS DATA CENTER HUBBARD,"NEXUS HUBBARD POWER, LLC",,TX,Texas air permit applications waiting on a decision,"183046, GHGPSDTX269, PSDTX1700",Air permit for the site,Administrative Complete Application,17 Feb 2026,3 Sep 2026,,https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/405217-ac.pdf
1130 E. Belt Line Rd. Lancaster TX,,Lancaster,TX,FAA obstruction notices still open,2026-ASW-13875-OE,Crane,Studying,24 Aug 2026,1 Sep 2026,placing generators at new data center. see 2026-ASW-11379-oe. max tip height for boom up 460' working tip height will be 400'.,
Crane_D_Point_5,,Fairfax County,VA,FAA obstruction notices still open,2026-AEA-9982-OE,Crane,Studying,21 Aug 2026,1 Sep 2026,275ft Mobile Crane being used for Construction of (2) 130ft AGL; 451ft AMSL Data Center Buildings located in Fairfax County Virginia. Permaneat structure ASN: 2023-AEA-7476-THRU-7484-OE,
Crane_D_Point_6,,Fairfax County,VA,FAA obstruction notices still open,2026-AEA-9983-OE,Crane,Studying,21 Aug 2026,1 Sep 2026,275ft AGL Mobile Crane being used for Construction of (2) 130ft AGL; 451ft AMSL Data Center Buildings located in Fairfax County Virginia. Permaneat structure ASN: 2023-AEA-7476-THRU-7484-OE,
Crane_D_Point_7,,Fairfax County,VA,FAA obstruction notices still open,2026-AEA-9985-OE,Crane,Studying,21 Aug 2026,1 Sep 2026,275ft AGL Mobile Crane being used for Construction of (2) 130ft AGL; 451ft AMSL Data Center Buildings located in Fairfax County Virginia. Permaneat structure ASN: 2023-AEA-7476-THRU-7484-OE,
Crane_D_Point_8,,Fairfax County,VA,FAA obstruction notices still open,2026-AEA-9986-OE,Crane,Studying,21 Aug 2026,1 Sep 2026,275ft Mobile Crane being used for Construction of (2) 130ft AGL; 451ft AMSL Data Center Buildings located in Fairfax County Virginia. Permaneat structure ASN: 2023-AEA-7476-THRU-7484-OE,
IAD48 Shell and PBB,,Sterling,VA,FAA obstruction notices still open,2026-AEA-9917-OE,Building (commercial),Studying,20 Aug 2026,1 Sep 2026,This building will be a 2-story data center,
Aligned Data Centers ORD04,,Chicago,IL,FAA obstruction notices still open,2026-AGL-13482-OE,Building,Studying,20 Aug 2026,1 Sep 2026,Registering building so that crane notifications for various contractors can be filed.,
MLC300,,Port Washington,WI,FAA obstruction notices still open,2026-AGL-13339-OE,Crane (mobile),Evaluating,18 Aug 2026,1 Sep 2026,Temporary crane to erect a cooling tower for a Data Center according to the Prescreen tool the cooling tower is 50ft and does not require a notice.,
