change,license_number,city,county,license_type,dealer_type,license_status,active_date,license_exp_date,earlier_copy,later_copy
added,P175075,Dallas,Dallas,Motor Vehicle,,Active,08/31/2026,07/31/2028,2026-08-31,2026-09-06
added,P175076,HARLINGEN,Cameron,Motor Vehicle,,Active,08/31/2026,04/30/2028,2026-08-31,2026-09-06
added,P175077,Houston,Harris,Motor Vehicle,,Active,08/31/2026,06/30/2028,2026-08-31,2026-09-06
added,P175078,HUTTO,Williamson,Motor Vehicle,,Active,08/31/2026,07/31/2028,2026-08-31,2026-09-06
added,P175079,Hutto,Williamson,Motor Vehicle,,Active,08/31/2026,03/31/2028,2026-08-31,2026-09-06
added,P175080,HUTTO,Williamson,Motor Vehicle,,Active,08/31/2026,05/31/2028,2026-08-31,2026-09-06
added,P175081,HUTTO,Williamson,Motorcycle,,Active,08/31/2026,07/31/2028,2026-08-31,2026-09-06
added,P175082,HUTTO,Williamson,Motor Vehicle,,Active,08/31/2026,06/30/2028,2026-08-31,2026-09-06
added,P175083,FORT WORTH,Tarrant,Motor Vehicle,,Active,08/31/2026,06/30/2028,2026-08-31,2026-09-06
added,P175084,HOUSTON,Harris,Motor Vehicle,,Active,08/31/2026,07/31/2028,2026-08-31,2026-09-06
added,P175085,KATY,Harris,Motor Vehicle,,Active,08/31/2026,07/31/2027,2026-08-31,2026-09-06
added,P175086,WYLIE,Collin,Motor Vehicle,,Active,08/31/2026,05/31/2028,2026-08-31,2026-09-06
added,P175088,Kaufman,Kaufman,Motor Vehicle,Franchise,Active,08/31/2026,07/31/2028,2026-08-31,2026-09-06
added,P175089,HUTTO,Williamson,Motor Vehicle,,Active,09/01/2026,05/31/2028,2026-08-31,2026-09-06
added,P175090,BAYTOWN,Harris,Motor Vehicle,,Active,09/01/2026,07/31/2028,2026-08-31,2026-09-06
added,P175091W,Victoria,Victoria,Wholesale Dealer License,,Active,09/01/2026,08/31/2028,2026-08-31,2026-09-06
added,P175092A,Victoria,Victoria,Wholesale Motor Vehicle Auction License,,Active,09/01/2026,08/31/2028,2026-08-31,2026-09-06
added,P175094,ROCKWALL,Rockwall,Motor Vehicle,Franchise,Active,09/01/2026,08/31/2028,2026-08-31,2026-09-06
added,P175095,HOCKLEY,Harris,Motor Vehicle,,Active,09/01/2026,07/31/2028,2026-08-31,2026-09-06
added,P175096,DEER PARK,Harris,Motor Vehicle,,Active,09/01/2026,05/31/2028,2026-08-31,2026-09-06
added,P175097,DALLAS,Dallas,Motor Vehicle,,Active,09/01/2026,08/31/2028,2026-08-31,2026-09-06
added,P175098W,HOUSTON,Harris,Wholesale Dealer License,,Active,09/01/2026,04/30/2028,2026-08-31,2026-09-06
added,P175099,CIBOLO,Guadalupe,Motor Vehicle,,Active,09/01/2026,05/31/2028,2026-08-31,2026-09-06
added,P175100,DALLAS,Collin,Motor Vehicle,,Active,09/02/2026,04/30/2028,2026-08-31,2026-09-06
added,P175101,AUSTIN,Travis,Motor Vehicle,,Active,09/02/2026,08/31/2028,2026-08-31,2026-09-06
