Facility or company,Most recent case date,Statute / program,Federal penalty,Outcome,Source
"Lowe's Home Centers, LLC (RRP)",2026-07-08,TSCA § 402C,"$12,500,000.00",Final Order With Penalty,View on EPA ECHO
"Churchill Downs Louisiana Horseracing Co., LLC",2026-08-06,CWA § 301/402,"$2,790,000.00",Final Order With Penalty,View on EPA ECHO
"Delek Logistics Operating, LLC",2026-07-24,CWA § 311B,"$1,705,460.00",Final Order With Penalty,View on EPA ECHO
Colgate-Palmolive Company,2026-08-31,TSCA § 8A,"$930,000.00",Final Order With Penalty,View on EPA ECHO
"Shintech-Multiple locations, LA - RMP CAFO",2026-09-03,CAA § 112[R][7],"$454,900.00",Final Order With Penalty,View on EPA ECHO
Chevron U.S.A. Inc-Multiple Facilities-2024 Onsite Inspection-CAFO With Inj Relief_FY2026,2026-07-09,CAA § 173,"$440,341.00",—,View on EPA ECHO
ZENITH ENERGY (ACO) (CAA STATIONARY),2026-06-23,CAA § 111,"$437,729.00",Final Order With Penalty,View on EPA ECHO
"Syngenta - St. Gabriel, LA-RMP CAFO",2026-08-26,CAA § 112[R][7],"$400,601.00",Final Order With Penalty,View on EPA ECHO
E I DUPONT DE NEMOURS & CO,2026-06-10,CAA § 112,"$400,000.00",Final Order With Penalty,View on EPA ECHO
"Logan Square Aluminum Supply, Inc. dba, et al. (CAFO)",2026-07-01,TSCA § 402C,"$400,000.00",Final Order With Penalty,View on EPA ECHO
KONOVER RESIDENTIAL CORP (LOFTS AT CARGILL FALLS MILL),2026-06-09,TSCA § 1018,"$359,069.00",Final Order With Penalty,View on EPA ECHO
"Ritz-Carlton (Virgin Islands), Inc.",2026-07-06,CAA § 111,"$349,600.00",Final Order With Penalty,View on EPA ECHO
Loparex LLC CAA 113D1 Action For Penalty,2026-06-11,CAA § 112,"$338,000.00",Final Order With Penalty,View on EPA ECHO
EOG- CLARKS CREEK AND SELECT FBIR WELL SITES,2026-08-05,CAA § 111,"$333,087.00",—,View on EPA ECHO
"Southern Ionics Incorporated-Pasadena, TX-RMP CAFO-FY 2026",2026-06-30,CAA § 112[R][7],"$322,000.00",Final Order With Penalty,View on EPA ECHO
CF &AMP; I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,2026-08-03,CWA § 301/402,"$308,173.00",Final Order With Penalty,View on EPA ECHO
SAINT GOBAIN CONTAINERS (4) (NATIONAL CASE),2026-08-21,CAA § 165,"$306,667.00",Final Order With Penalty,View on EPA ECHO
"REMURIATE TECHNOLOGIES, LLC - APO/CAFO",2026-09-02,CAA § 110,"$302,109.20",Final Order With Penalty,View on EPA ECHO
"Fort Smith, City of",2026-07-23,CWA § 301/402,"$300,000.00",Final Order With Penalty,View on EPA ECHO
"Molson Coors-Fort Worth, TX-RMP CAFO-FY 2026",2026-08-12,CAA § 112[R][7],"$291,817.00",Final Order With Penalty,View on EPA ECHO
Enterprise Precast Concrete of Kansas LLC CWA 309G2A AO For Class I Penalties,2026-07-02,CWA § 301/402,"$268,000.00",Final Order With Penalty,View on EPA ECHO
"Equilon Enterprises LLC-Norco, LA-RMP CAFO-FY 2026",2026-08-25,CAA § 112[R][7],"$260,000.00",Final Order With Penalty,View on EPA ECHO
"Iowa 80 Truckstop, Inc. CWA 311B6B2 AO For Class II Penalty",2026-07-06,CWA § 311J,"$253,142.00",Final Order With Penalty,View on EPA ECHO
ET Gathering & Processing LLC-Multiple Facilities-2022 Flyover-CAFO With Inj Relief_FY2026,2026-08-24,CAA § 173,"$245,500.00",—,View on EPA ECHO
Joplin 44 Truck Stop CWA 311B6B2 AO For Class II Penalty,2026-07-06,CWA § 311J,"$235,642.00",Final Order With Penalty,View on EPA ECHO
