agency,agency_code,budget_year,kind_of_spending,sealed_first,amount_first,sealed_after,amount_after,moved_by
Department of Defense,097,2026,Contracts,2026-08-19,300081683601.62,2026-08-20,304638786613.32,4557103011.70
Department of Defense,097,2026,Contracts,2026-08-20,304638786613.32,2026-08-21,307160419346.24,2521632732.92
Department of Health and Human Services,075,2026,Grants,2026-08-20,873204057314.90,2026-08-21,875603289309.10,2399231994.20
Department of Energy,089,2026,Grants,2026-08-19,640798369.71,2026-08-20,1419103517.19,778305147.48
Department of Housing and Urban Development,086,2026,Loans,2026-08-20,-5412176248.56,2026-08-21,-6170428619.24,-758252370.68
Department of Agriculture,012,2026,Direct payments,2026-08-19,86114752572.84,2026-08-20,86659570764.16,544818191.32
Department of Veterans Affairs,036,2026,Contracts,2026-08-19,70003280042.37,2026-08-20,70330518046.25,327238003.88
Department of Agriculture,012,2025,Grants,2026-08-19,57801973655.31,2026-08-20,58109304750.79,307331095.48
Department of Health and Human Services,075,2026,Contracts,2026-08-19,15967258634.28,2026-08-20,16219575932.37,252317298.09
Department of Homeland Security,070,2026,Contracts,2026-08-19,59526057731.74,2026-08-20,59743392110.34,217334378.60
Department of Health and Human Services,075,2026,Other,2026-08-20,5000365414.41,2026-08-21,5169240697.76,168875283.35
Department of Agriculture,012,2025,Direct payments,2026-08-19,111607298808.62,2026-08-20,111775510139.78,168211331.16
Department of Health and Human Services,075,2026,Direct payments,2026-08-20,928223274823.61,2026-08-21,928364648902.74,141374079.13
Department of Justice,015,2026,Contracts,2026-08-19,7145444165.94,2026-08-20,7279660879.30,134216713.36
General Services Administration,047,2026,Contracts,2026-08-19,20989883563.27,2026-08-20,21102413079.81,112529516.54
Department of Health and Human Services,075,2026,Contracts,2026-08-20,16219575932.37,2026-08-21,16328297780.51,108721848.14
Department of Energy,089,2026,Contracts,2026-08-19,48847504661.69,2026-08-20,48950798274.57,103293612.88
Department of Homeland Security,070,2026,Contracts,2026-08-20,59743392110.34,2026-08-21,59846584625.31,103192514.97
Department of Agriculture,012,2026,Contracts,2026-08-19,7658796051.88,2026-08-20,7759613493.77,100817441.89
Department of Energy,089,2026,Other,2026-08-19,248830573.52,2026-08-20,347989347.43,99158773.91
Department of Veterans Affairs,036,2026,Contracts,2026-08-20,70330518046.25,2026-08-21,70414802389.73,84284343.48
Department of State,019,2026,Contracts,2026-08-19,5504776087.69,2026-08-20,5586528828.76,81752741.07
Department of Agriculture,012,2026,Contracts,2026-08-20,7759613493.77,2026-08-21,7840891767.48,81278273.71
Department of Transportation,069,2026,Contracts,2026-08-19,9901375157.90,2026-08-20,9980450696.00,79075538.10
Department of the Interior,014,2026,Contracts,2026-08-19,4494454605.89,2026-08-20,4569651433.05,75196827.16
