Symbols (1),Proper shipping name and description (2),Hazard class or division (3),Identification number (4),Packing group (5),Label codes (6),Special provisions (7),Exceptions — packaging (8A),Non-bulk packaging (8B),Bulk packaging (8C),Passenger aircraft or rail limit (9A),Cargo aircraft only limit (9B),Vessel stowage location (10A),Vessel stowage other (10B)
,"Paint (including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler and liquid lacquer base)",3,UN1263,I,3,"367, T11, TP1, TP8, TP27",150,201,243,1 L,30 L,E,
,"Paint related material including paint thinning, drying, removing, or reducing compound",3,UN1263,I,3,"367, T11, TP1, TP8, TP27",150,201,243,1 L,30 L,E,
,"Paint, corrosive, flammable (including paint, lacquer, enamel, stain, shellac, varnish, polish, liquid filler, and liquid lacquer base)",8,UN3470,II,"8, 3","367, IB2, T7, TP2, TP8, TP28",154,202,243,1 L,30 L,B,40
,"Paint related material corrosive, flammable (including paint thinning or reducing compound)",8,UN3470,II,"8, 3","367, IB2, T7, TP2, TP8, TP28",154,202,243,1 L,30 L,B,40
,"Engine, internal combustion, flammable liquid powered or Engine, fuel cell, flammable liquid powered or Machinery, internal combustion, flammable liquid powered or Machinery, fuel cell, flammable liquid powered",3,UN3528,,3,"135, A200",220,220,220,No limit,No limit,E,149
,"Paint, flammable, corrosive, (including paint , lacquer, enamel, stain, shellac, varnish, polish, liquid filler and liquid lacquer base)",3,UN3469,I,"3, 8","367, T11, TP2, TP27",None,201,243,0.5 L,2.5 L,E,40
,"Paint related material, flammable, corrosive (including paint thinning or reducing compound)",3,UN3469,I,"3, 8","367, T11, TP2, TP27",None,201,243,0.5 L,2.5 L,E,40
,"Engine, internal combustion, flammable gas powered or Engine, fuel cell, flammable gas powered or Machinery, internal combustion, flammable gas powered or Machinery, fuel cell, flammable gas powered",2.1,UN3529,,2.1,"135, A200",220,220,220,Forbidden,No limit,E,
,"Vehicle, flammable gas powered or Vehicle, fuel cell, flammable gas powered",9,UN3166,,9,"135, A200",220,220,220,Forbidden,No limit,A,
,"Vehicle, flammable liquid powered or Vehicle, fuel cell, flammable liquid powered",9,UN3166,,9,"135, A200",220,220,220,No limit,No limit,A,
,"Ethanol and gasoline mixture or Ethanol and motor spirit mixture or Ethanol and petrol mixture, with more than 10% ethanol",3,UN3475,II,3,"144, 177, IB2, T4, TP1",150,202,242,5 L,60 L,E,
D G,"Combustible liquid, n.o.s.",Comb liq,NA1993,III,None,"148, IB3, T1, TP1",150,203,241,60 L,220 L,A,
D G,"Compounds, cleaning liquid",3,NA1993,I,3,"T11, TP1",150,201,243,1 L,30 L,E,
D G,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",3,NA1993,I,3,"T11, TP1",150,201,243,1 L,30 L,E,
D,Diesel fuel,3,NA1993,III,None,"144, B1, IB3, T4, TP1, TP29",150,203,242,60 L,220 L,A,
D,"Fuel oil (No. 1, 2, 4, 5, or 6)",3,NA1993,III,3,"144, B1, IB3, T4, TP1, TP29",150,203,242,60 L,220 L,A,
,"Aerosols, corrosive, Packing Group II or III, (each not exceeding 1 L capacity)",2.2,UN1950,,"2.2, 8",A34,306,None,None,75 kg,150 kg,A,"25, 87, 126, 157"
,"Aerosols, flammable, (each not exceeding 1 L capacity)",2.1,UN1950,,2.1,N82,306,None,None,75 kg,150 kg,A,"25, 87, 126, 157"
,"Aerosols, flammable, n.o.s. (engine starting fluid) (each not exceeding 1 L capacity)",2.1,UN1950,,2.1,N82,306,304,None,Forbidden,150 kg,A,"25, 87, 126, 157"
,"Aerosols, non-flammable, (each not exceeding 1 L capacity)",2.2,UN1950,,2.2,,306,None,None,75 kg,150 kg,A,"25, 87, 126, 157"
,"Aerosols, poison, Packing Group III (each not exceeding 1 L capacity)",2.2,UN1950,,"2.2, 6.1",,306,None,None,Forbidden,Forbidden,A,"25, 87, 126, 157"
,Isopropanol or Isopropyl alcohol,3,UN1219,II,3,"IB2, T4, TP1","4b, 150",202,242,5 L,60 L,B,
,Lithium metal batteries contained in equipment including lithium alloy batteries,9,UN3091,,9,"181, 360, 388, 422, A54, A101",185,185,185,5 kg,35 kg,A,156
,Lithium metal batteries packed with equipment including lithium alloy batteries,9,UN3091,,9,"181, 360, 388, 422, A54",185,185,185,5 kg,35 kg,A,156
,Lithium ion batteries contained in equipment including lithium ion polymer batteries,9,UN3481,,9,"181, 360, 388, 422, A54",185,185,185,5 kg,35 kg,A,156
