ain,address,zip,distance_m,base_year,recorded_in,sqft,bedrooms,bathrooms,year_built,land,improvements,enrolled_total,per_sqft,what_this_is
4106008020,6040 W 76TH ST,90045,195,2026,2025,1664,4,1,1948,1163000,102000,1265000,760,"assessor-enrolled value at change of ownership, not a confirmed sale price"
4105003017,5931 ABERNATHY DR,90045,266,2026,2025,1450,2,2,1954,1000000,950000,1950000,1345,"assessor-enrolled value at change of ownership, not a confirmed sale price"
4105003019,5923 ABERNATHY DR,90045,301,2026,2025,1292,3,2,1950,1303200,196800,1500000,1161,"assessor-enrolled value at change of ownership, not a confirmed sale price"
4106003006,6126 W 74TH ST,90045,348,2026,2025,1698,3,2,1948,1080700,465610,1546310,911,"assessor-enrolled value at change of ownership, not a confirmed sale price"
4104013013,7525 PIPER PL,90045,398,2026,2025,2102,3,2,1950,1731300,223700,1955000,930,"assessor-enrolled value at change of ownership, not a confirmed sale price"
4106007006,6129 W 76TH ST,90045,419,2026,2025,1440,3,2,1947,1530900,68900,1599800,1111,"assessor-enrolled value at change of ownership, not a confirmed sale price"
4106014008,6107 W 78TH ST,90045,448,2026,2025,1530,3,2,1948,840000,360000,1200000,784,"assessor-enrolled value at change of ownership, not a confirmed sale price"
4106007022,6154 W 75TH PL,90045,484,2026,2025,2031,3,2,1947,1306900,263100,1570000,773,"assessor-enrolled value at change of ownership, not a confirmed sale price"
4104007010,5821 W 75TH ST,90045,516,2026,2025,1938,4,3,1952,1391600,233400,1625000,838,"assessor-enrolled value at change of ownership, not a confirmed sale price"
4106023003,7812 CROYDON AVE,90045,526,2026,2025,1679,3,2,1944,1090000,465000,1555000,926,"assessor-enrolled value at change of ownership, not a confirmed sale price"
