permit_nbr,primary_address,zip_code,cd,pin_nbr,apn,zone,apc,cpa,cnc,ct,permit_group,permit_type,permit_sub_type,use_code,use_desc,issue_date,status_desc,status_date,valuation,type_lat_lon,lat,lon,work_desc,ev,solar,business_unit,refresh_time,geolocation,submitted_date,cofo_date,adu_changed,square_footage,construction,hl,height,du_changed,junior_adu
23016-40000-19419,3340 S KERCKHOFF AVE,90731,15,006B197 358,7467004021,R1-1XL,Harbor,San Pedro,Coastal San Pedro,2976.02,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2023-06-13T00:00:00.000,Permit Finaled,2023-07-25T00:00:00.000,35000,ADDRESS,33.71355,-118.28961,KITCHEN and 1--BATHROOM remodel for residential buildings (no structural changes combined with Electrical/Plumbing),N,N,Express Permit,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.28961, 33.71355]}",,,,,,,,,
24014-20000-04329,13882-13884 N GARRICK AVE,91342,7,228B157 98,2503016040,RS-1,North Valley,Sylmar,Sylmar,1060.20,Building,Bldg-Addition,1 or 2 Family Dwelling,1,Dwelling - Single Family,2024-11-14T00:00:00.000,CofO Issued,2025-12-31T00:00:00.000,3200,BUILDING,34.32489532,-118.42604217,NEW 200 SQFT COVERED BALCONY ABOVE ADU,N,N,Regular Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.42604217, 34.32489532]}",2024-09-25T00:00:00.000,2025-12-31T00:00:00.000,0,200,Type V-B Construction,,,,
22047-20000-01473,1682 N SAN ONOFRE DR,90272,11,135B133 219,4425001001,R1H1,West Los Angeles,Brentwood - Pacific Palisades,,2624.00,Building,Swimming-Pool/Spa,1 or 2 Family Dwelling,20,Pool/Spa - Private,2023-03-08T00:00:00.000,CofO Issued,2025-05-14T00:00:00.000,25000,ADDRESS,34.06249,-118.50216,"NEW 39'2"" X 29'1"" SWIMMING POOL WITH 8' X 12' ATTACHED SPA, ALL WORK PER ENGINEERING",N,N,Regular Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.50216, 34.06249]}",2022-07-20T00:00:00.000,2025-05-14T00:00:00.000,,,,YES,,,
22016-10000-31262,857 S SHENANDOAH ST,90035,5,132B169 68,4333014034,[Q]R3-1-O,Central,Wilshire,South Robertson,2164.02,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Accessory Dwelling Unit,2024-07-31T00:00:00.000,Issued,2024-07-31T00:00:00.000,80000,PIN,34.06136146,-118.38165603,CONVERT EXISTING 2-CAR GARAGE INTO NEW ACCESSORY DWELLING.,N,N,Regular Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.38165603, 34.06136146]}",2022-10-14T00:00:00.000,,1,387,Type V-B Construction,,11.7,,
21014-10000-04243,1047 W 54TH ST,90037,9,108B197 534,5002026011,R2-1,South Los Angeles,South Los Angeles,Voices,2326.00,Building,Bldg-Addition,1 or 2 Family Dwelling,1,Accessory Dwelling Unit,2021-11-04T00:00:00.000,CofO Issued,2024-10-01T00:00:00.000,60000,BUILDING,33.99363597,-118.29314544,"CONVERT EXISTING 14'-6"" X 15'-6"" AUTOMOBILE SHED TO ADU PER GCS 65852.2(e)(1)(B) AND LAMC 12.22 A 33 (c)(d)AND (g) WITH 14'-6"" X 14' ADDITION.",N,N,Plan Check at Counter,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.29314544, 33.99363597]}",2021-08-23T00:00:00.000,2024-10-01T00:00:00.000,1,454.25,Type V-B Construction,,13,,
20047-20000-01840,2175 N MANDEVILLE CANYON ROAD,90049,11,138B133 292,4492003009,RE40-1-H,West Los Angeles,Brentwood - Pacific Palisades,,2624.00,Building,Swimming-Pool/Spa,1 or 2 Family Dwelling,20,Pool/Spa - Private,2021-03-03T00:00:00.000,CofO Issued,2026-06-08T00:00:00.000,30000,ADDRESS,34.07435,-118.50056,"(N) POOL (35' X 15') & SPA (9' X 9') PER LA CITY STD PLAN #265, POOL/SPA COVER & ENG'R DETAILS",N,N,Regular Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.50056, 34.07435]}",2020-10-20T00:00:00.000,2026-06-08T00:00:00.000,,,,YES,,,
22016-20000-03957,9713-9715 N NAGLE AVE,91331,6,201B153 625,2644022006,R1-1,North Valley,Arleta - Pacoima,Arleta,1192.01,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2022-04-12T00:00:00.000,CofO Issued,2023-04-27T00:00:00.000,20000,ADDRESS,34.24634,-118.44361,"CONVERT THE (E) 18'5"" x 19'6"" GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER LAMC 12.22 A.33(c) and (e)",N,N,Expanded Counter Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.44361, 34.24634]}",2022-02-10T00:00:00.000,2023-04-27T00:00:00.000,1,361,Type V-B Construction,,,,
26016-10000-02877,20140 W RINALDI ST #110,91326,12,210B113 286,2701099021,"A1-2D, [T]C2-2D, [T]C4-2D",North Valley,Chatsworth - Porter Ranch,Porter Ranch,1082.02,Building,Bldg-Alter/Repair,Commercial,17,Restaurant,2026-07-14T00:00:00.000,Issued,2026-07-14T00:00:00.000,500000,ADDRESS,34.27477,-118.57293,"FIRST T.I. INTERIOR ALTERATIONS TO AN EXISTING BUILDING. CHANGE OF USE FROM RETAIL TO RESTAURANT MODIFICATIONS TO INCLUDE NEW PARTITION WALLS, CEILINGS, ELECTRICAL, PLUMBING, AND HVAC AS NEEDED FOR OPERATION OF A FAST-CASUAL SALAD RESTAURANT.",N,N,Regular Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.57293, 34.27477]}",2026-01-30T00:00:00.000,,,,Type V-B Construction,YES,,,
21016-90000-59172,5200 N VELOZ AVE,91356,3,171B121 325,2161011011,RA-1,South Valley,Encino - Tarzana,Tarzana,1394.02,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2021-12-27T00:00:00.000,Permit Finaled,2022-09-06T00:00:00.000,2250,ADDRESS,34.16515,-118.54,"Replace 9 window(s). Same size, location, number, type.",N,N,Express Permit,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.54, 34.16515]}",,,,,,,,,
23016-90000-26495,6310 W 6TH ST,90048,5,135B177 389,5510025035,R2-1-O,Central,Wilshire,Mid City West,2147.00,Building,Bldg-Alter/Repair,Apartment,5,Apartment,2023-08-08T00:00:00.000,Permit Finaled,2024-01-31T00:00:00.000,3000,ADDRESS,34.06523,-118.36543,"Re-roof with Class A or B roof covering material weighing less than 6 pounds per sq. ft. over existing solid sheathing 15 Squares. Class A roof covering is required within Very High Fire Hazard Severity Zone (VHFHSZ). For residential roof replacement > 50% of the total roof area, apply Cool Roof Product labeled and certified by Cool Roof Rating Council (CRRC). Cool Roof may be required for non-residential buildings per Title 24, Part 6, Section 141.0(b)2B.",N,N,Express Permit,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.36543, 34.06523]}",,,,,,,,,
20016-90000-01243,23136 W INGOMAR ST,91304,12,189B093 619,2014032042,RS-1,South Valley,Canoga Park-West Hills-Winnetka-Woodland Hills,West Hills,1344.23,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2020-01-15T00:00:00.000,Permit Finaled,2020-02-24T00:00:00.000,7200,ADDRESS,34.21173,-118.63146,"Reroof with 36 sqrs COMP SHINGLE roofing. Existing solid sheathing.Re-roof with Class A or B material weighing less than 6 pounds per sq. ft. For residential roof replacement > 50% of the total roof area, apply Cool Roof Product labeled and certified by Cool Roof Rating Council (CRRC). Cool Roof may be required for non-residential buildings per Title 24, Part 6, Section 149(b).",N,N,Express Permit,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.63146, 34.21173]}",,,,,,,,,
26016-10000-09087,834 N SAN PASCUAL AVE,90042,14,154-5A235 73,5493036012,RD2-1,East Los Angeles,Northeast Los Angeles,HISTORIC HIGHLAND PARK NC,1831.03,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2026-04-07T00:00:00.000,Permit Finaled,2026-05-22T00:00:00.000,20000,ADDRESS,34.11893,-118.17128,"Re-roof with Class A or B material weighing less than 6 pounds per sq. ft. over existing solid sheathing___31___Squares. Class A roof covering is required within Very High Fire Hazard Severity Zone(VHFHSZ).For residential roof replacement>50% of the total roof area, apply Cool Roof Product labeled and certified byCool Roof Rating Council (CRRC). Cool Roof may be required for non-residential buildings per Title 24, Part6, Section 141(b) 2B.",N,N,Express Permit,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.17128, 34.11893]}",,,,,,,,,
25014-20002-00163,7751-7753 N OSTROM AVE,91406,6,189B133 778,2203002016,R1-1,South Valley,Reseda - West Van Nuys,Lake Balboa,1311.00,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2026-02-19T00:00:00.000,Permit Finaled,2026-07-09T00:00:00.000,501,BUILDING,34.21187936,-118.50788973,SUPPLEMENTAL PERMIT TO 25014-20000-00163 TO REMOVE NFPA 13D FIRE SPRINKLERS THROUGHOUT - SEE COMMENTS,N,N,Express Permit,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.50788973, 34.21187936]}",,,,,,,,,
20014-20001-04311,6832 N COSTELLO AVE,91405,2,183B153 998,2216016017,R1-1,South Valley,Van Nuys - North Sherman Oaks,Van Nuys,1279.20,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2021-08-25T00:00:00.000,Permit Finaled,2022-03-30T00:00:00.000,501,ADDRESS,34.19505,-118.43766,SUPPL. PERMIT TO 20014-20000-04311 TO CHANGE THE ENGINEER OF RECORD AND TO REVISE AREA OF ROOF TO BE RE-FRAMED (638.56 SQ.FT.),N,N,Plan Check at Counter,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.43766, 34.19505]}",2021-05-14T00:00:00.000,,,,,,,,
