ZIP,Case,What kind,Status in the earlier copy,Status in the newer copy,Mesa's opened date,First copy showing it
85213,COD26-05536,Code Compliance,In Violation,Closed,20 Aug 2026,10 Sep 2026
85213,COD26-05533,Code Compliance,In Violation,Closed,20 Aug 2026,10 Sep 2026
85213,COD26-05531,Code Compliance,In Violation,Closed,20 Aug 2026,10 Sep 2026
85213,COD26-05530,Code Compliance,In Violation,Closed,20 Aug 2026,10 Sep 2026
85213,COD26-05519,Code Compliance,In Violation,Closed,19 Aug 2026,10 Sep 2026
85213,COD26-05350,Code Compliance,In Violation,Closed,12 Aug 2026,10 Sep 2026
85212,COD26-05732,Code Compliance,In Violation,Closed,27 Aug 2026,10 Sep 2026
85212,COD26-05621,Code Compliance,In Violation,Closed,24 Aug 2026,10 Sep 2026
85210,COD26-05494,Code Compliance,In Violation,Closed,19 Aug 2026,10 Sep 2026
85209,COD26-05392,Code Compliance,In Violation,Closed,13 Aug 2026,10 Sep 2026
85209,COD26-05361,Code Compliance,In Violation,Closed,12 Aug 2026,10 Sep 2026
85209,COD26-04887,Code Compliance,In Violation,Closed,28 Jul 2026,10 Sep 2026
85209,COD23-08326,Code Compliance,Legal Action,Forced Compliance,4 Sep 2023,10 Sep 2026
85208,COD23-09003,Code Compliance,Legal Action,Forced Compliance,26 Sep 2023,10 Sep 2026
85208,COD22-06183,Code Compliance,Legal Action,Forced Compliance,25 Jul 2022,10 Sep 2026
85208,COD22-06149,Code Compliance,Legal Action,Forced Compliance,21 Jul 2022,10 Sep 2026
85206,COD26-05544,Code Compliance,In Violation,Closed,20 Aug 2026,10 Sep 2026
85206,COD26-05503,Code Compliance,In Violation,Closed,19 Aug 2026,10 Sep 2026
85206,COD22-06011,Code Compliance,Legal Action,Forced Compliance,16 Jul 2022,10 Sep 2026
85205,COD24-00492,Code Compliance,Legal Action,Forced Compliance,17 Jan 2024,10 Sep 2026
85204,COD26-05058,Code Compliance,In Violation,Closed,3 Aug 2026,10 Sep 2026
85204,COD26-04958,Code Compliance,In Violation,Closed,30 Jul 2026,10 Sep 2026
85204,COD26-04861,Code Compliance,Closed,In Violation,27 Jul 2026,10 Sep 2026
85204,COD26-04825,Code Compliance,In Violation,Closed,27 Jul 2026,10 Sep 2026
85204,COD26-04537,Code Compliance,Citation Issued,Closed,15 Jul 2026,10 Sep 2026
