state,journal_required,electronic_journal,retention_years,read_on,source_url
Alabama,unclear,unclear,,2026-09-08,https://alison.legislature.state.al.us/code-of-alabama
Alaska,unclear,unclear,,2026-09-08,https://www.akleg.gov/basis/statutes.asp#44.50.045
Arizona,yes,allowed,,2026-09-08,https://www.azleg.gov/ars/41/00319.htm
Arkansas,unclear,unclear,,2026-09-08,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=/ACTS/2021R/Public/&file=1004.pdf
California,yes,unclear,,2026-09-08,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV§ionNum=8206.
Colorado,unclear,unclear,,2026-09-08,https://www.coloradosos.gov/pubs/notary/home.html
Connecticut,unclear,unclear,,2026-09-08,https://www.cga.ct.gov/current/pub/chap_006.htm
Delaware,yes,allowed,10,2026-09-08,https://delcode.delaware.gov/title29/c043/sc02/index.html
District of Columbia,unclear,allowed,,2026-09-08,https://os.dc.gov/service/notary-commissions
Florida,yes,allowed,10,2026-09-08,http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0100-0199/0117/0117.html
Georgia,unclear,unclear,,2026-09-08,https://www.gsccca.org/notary-and-apostilles/handbook
Hawaii,unclear,unclear,,2026-09-08,https://www.capitol.hawaii.gov/hrscurrent/Vol10_Ch0436-0474/HRS0456/HRS_0456-0015.htm
Idaho,unclear,unclear,,2026-09-08,https://legislature.idaho.gov/statutesrules/idstat/Title51/T51CH1/SECT51-119/
Illinois,unclear,unclear,,2026-09-08,https://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=000503120K3-107
Indiana,unclear,unclear,,2026-09-08,https://iga.in.gov/laws/2024/ic/titles/33
Iowa,unclear,unclear,,2026-09-08,https://www.legis.iowa.gov/docs/code/9B.pdf
Kansas,yes,allowed,10,2026-09-08,https://sos.ks.gov/general-services/notary.html
Kentucky,unclear,unclear,,2026-09-08,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38494
Louisiana,unclear,unclear,,2026-09-08,https://www.legis.la.gov/legis/Law.aspx?d=98244
Maine,unclear,unclear,,2026-09-08,https://legislature.maine.gov/statutes/4/title4ch16sec0.html
Maryland,unclear,unclear,,2026-09-08,https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=gsg§ion=18-214&enactments=false
Massachusetts,unclear,unclear,,2026-09-08,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIII/Chapter222
Michigan,unclear,unclear,,2026-09-08,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-55-286
Minnesota,unclear,unclear,,2026-09-08,https://www.revisor.mn.gov/statutes/cite/359
Mississippi,unclear,unclear,,2026-09-08,https://www.sos.ms.gov/business-services/notaries
