City,Permit,Address,Contractor on the permit,What the permit is for,City issue date,First in our copy
Austin,2026-118763 BP,2831 SAN GABRIEL ST,not given,R- 649 Demolition All Other Bldgs Res / Demolition,12 Sep 2026,14 Sep 2026
Austin,2025-115505 BP,709 W MONROE ST,Joseph Design Build**MAIN***,R- 101 Single Family Houses / New,11 Sep 2026,13 Sep 2026
Austin,2026-030260 BP,8704 PRIMROSE LN,J Pinnelli Company,R- 435 Renovations/Remodel / Repair,11 Sep 2026,13 Sep 2026
Austin,2026-102190 BP,1210 CEDAR AVE,Driftmoor Custom Homes LLC,R- 101 Single Family Houses / New,11 Sep 2026,13 Sep 2026
Chicago,101078905,1934 W 38TH ST,not given,PERMIT - NEW CONSTRUCTION,11 Sep 2026,14 Sep 2026
Chicago,101079498,323 W 29TH ST,not given,PERMIT - NEW CONSTRUCTION,11 Sep 2026,14 Sep 2026
Chicago,101083864,627 N HAMLIN AVE,not given,PERMIT - NEW CONSTRUCTION,11 Sep 2026,14 Sep 2026
Chicago,101084156,805 W JUNIOR TER,not given,PERMIT - RENOVATION/ALTERATION,11 Sep 2026,14 Sep 2026
New York City,B01287567-I1-GC,234 CLARKSON AVENUE,CITY BUILDERS NYC LLC,General Construction / Initial Permit,11 Sep 2026,13 Sep 2026
New York City,B01423489-I1-GC,452 DEGRAW STREET,BLACK SQUARE BUILDERS COR,General Construction / Initial Permit,11 Sep 2026,13 Sep 2026
New York City,M00823789-I1-GC,353 WEST 20 STREET,SIGNATURE AUDIO DESIGN LL,General Construction / Renewal Permit with Changes,11 Sep 2026,13 Sep 2026
New York City,M01395916-I1-GC,23 WEST 12 STREET,HOTI GROUP CORP,General Construction / Initial Permit,11 Sep 2026,13 Sep 2026
Scottsdale,324390,6415 E SUNNYSIDE DR,Pro Build Design,SFR-CUSTOM IN SUBDIVISION,11 Sep 2026,14 Sep 2026
Scottsdale,324391,37360 N 104TH PL,Red Moon Construction,SFR-CUSTOM IN SUBDIVISION,11 Sep 2026,14 Sep 2026
Scottsdale,324392,37360 N 104TH PL,Red Moon Construction,NATIVE PLANT,11 Sep 2026,14 Sep 2026
Scottsdale,324376,7825 E ROOSEVELT ST,OWNER BUILDER,SFR-REMODEL,10 Sep 2026,14 Sep 2026
Seattle,7115583-DM,9552 4th AVE NW,not given,Demolition / Demolition,12 Sep 2026,14 Sep 2026
Seattle,7123838-CN,3202 SW 97TH ST,not given,Building / New,12 Sep 2026,14 Sep 2026
Seattle,7159840-CN,3201 37TH PL S,not given,Building / Addition/Alteration,12 Sep 2026,14 Sep 2026
Seattle,7162027-CN,4001 2ND AVE NW,not given,Building / Addition/Alteration,12 Sep 2026,14 Sep 2026
