recall_number,classification,status,recalling_firm,state,product_description,recall_initiation_date,report_date,moved_from,moved_to,moved_between
H-1143-2026,Class II,Terminated,Bear Stewart Co,IL,"Bakr Brown Butter Chocolate Chunk Ready to Bake Cookie Dough, 8-oz pouch 12 cookies per pouch, UPC 8 50073 08700 8, 8 pouches per case",2026-06-24,2026-07-15,Ongoing,Terminated,2026-08-17 to 2026-08-18
H-1145-2026,Class II,Terminated,"Specialty Bakers, LLC",PA,"Vanilla Dessert Shells (Giant), 6 dessert shells/1 package, 1 dessert shell is approximately 23.67 grams. 1package is 142 grams. 1 package has 1 plastic tray which holds 6 desserts shells. Plastic is wrapped around 1 tray. 24 packs/Case. Frozen",2026-05-28,2026-07-15,Ongoing,Terminated,2026-08-17 to 2026-08-18
H-1179-2026,Class II,Completed,Brooklyn Roasting Works LLC,NY,Brooklyn Roasting Company Pasteurized Cold Brew Concentrate; 2.5gal; bag in a box distributed between 04/01/2026 and 06/20/2026.,2026-07-02,2026-07-29,Ongoing,Completed,2026-08-17 to 2026-08-18
H-1148-2026,Class I,Terminated,Fresh & Ready Foods LLC,WA,"Fresh to You Burger Chicken Fillet Deluxe with Bacon, SKU 10303, Net wt. 5.9oz. Product is refrigerated. UPC 1 00000 01030 3. Manufactured by LPK1 Renton, WA. Product was not sold at retail stores and sold only to employees at certain business' breakroom.",2026-06-25,2026-07-15,Ongoing,Completed,2026-08-10 to 2026-08-11
H-1149-2026,Class I,Terminated,Fresh & Ready Foods LLC,WA,"Fresh to You Burger Chicken Fillet, SKU 10150, Net wt. 5oz. Product is refrigerated. UPC 1 00000 01015 0. Manufactured By LPK1 Renton, WA. Product was not sold at retail stores and sold only to employees at certain business' breakroom.",2026-06-25,2026-07-15,Ongoing,Completed,2026-08-10 to 2026-08-11
H-1151-2026,Class II,Terminated,"Wells Enterprises, Inc.",IA,"Plastic 1-gallon clear pail blue label which reads in part as ""BLUE RIBBON CLASSICS FRENCH VANILLA, MFD. BY WELLS ENTERPRISES, INC. D/B/A WELLS DAIRY, INC., P.O. BOX 1310 LE MARS, IA 51031",2026-06-10,2026-07-08,Ongoing,Terminated,2026-08-03 to 2026-08-04
H-0949-2026,Class II,Completed,United States Bakery,OR,"Great Value Hawaiian Roll 4pk, Item # F63384. Product is perishable dinner roll ready to eat, sold in a corrugated case of 18 packages (4.5oz net wt.) individually wrapped in laminated film. This product was never sold in stores and was never available for consumer purchase. All affected product remained at wholesale distribution centers and has been accounted for.",2026-05-15,2026-06-24,Ongoing,Completed,2026-07-21 to 2026-07-22
H-0953-2026,Class I,Terminated,Jonco Industries,WI,"White Cheddar Seasoning packed in the following sizes and configurations: 1. Net Wt. 1.2 oz (34g) Distributed by: Fireworks Popcorn, Division of Jonco Industries, Milwaukee, WI 53218. Sold in a Fireworks Popcorn, Natural American Popcorn Popping & Toppings gift set. Contains: 3 popcorns & 3 popcorns seasonings. 2. Net Wt. 1.6 oz. (45g) UPC 7 36659-26501 8. Distributed by: Fireworks Popcorn, Division of Jonco Industries, Milwaukee, WI 53218. Sold at West Allis Cheese and Sausage retail store. 3. Net Wt 0.7 oz (19g) Williams Sonoma, Not for Retail Sale. Sold in a Williams Sonoma branded Popcorn Sampler Gift Box. Set includes 2 popcorns, oil, seasoning and salt.",2026-05-04,2026-06-24,Ongoing,Terminated,2026-07-21 to 2026-07-22
H-0951-2026,Class II,Terminated,Fairhope Roasting Company,AL,"Fairhope Roasting Company Cold Brew Coffee Concentrate, packaged in 1-gallon plastic jugs, UPC 852236006062, for food service only",2026-05-21,2026-06-24,Ongoing,Terminated,2026-07-13 to 2026-07-14
H-0952-2026,Class III,Terminated,United Salt Corp,TX,Salt,2026-05-14,2026-06-24,Ongoing,Terminated,2026-07-13 to 2026-07-14
