permit_id,site_name,county,city,permit_issue_date,status,change
TXR15001S,TXDOT ODA CSJ 0139-04-045 REEVES CO,Reeves,PECOS,2023-05-01,EFF,in current copy; no change this week
TXR15003T,SEDRO CROSSING BUSINESS PARK,Williamson,GEORGETOWN,2023-04-14,EFF,in current copy; no change this week
TXR15004R,MARKUM BUSINESS PARK,Tarrant,FORT WORTH,2023-05-18,EFF,in current copy; no change this week
TXR15010N,LAKE WELLINGTON PHASE 13,Wichita,WICHITA FALLS,2023-04-17,EFF,in current copy; no change this week
TXR15012V,VENTANA - HOME BUILDING,Tarrant,FORT WORTH,2023-05-31,EFF,in current copy; no change this week
TXR15019O,MERIDIANA SUBDIVISION,Brazoria,ROSHARON,2023-06-01,EFF,in current copy; no change this week
TXR15019Q,OLSON SUBDIVISION UNITS 1 AND 9,Bexar,SAN ANTONIO,2023-05-26,EFF,in current copy; no change this week
TXR1501DG,SOUTHERN MEADOWS ADDITION,Taylor,ABILENE,2023-05-31,EFF,in current copy; no change this week
TXR1501FG,THE PARK AT WESTON LAKES C&G,Fort Bend,FULSHEAR,2023-05-30,EFF,in current copy; no change this week
TXR1501HD,ENCLAVE VILLAS,Dallas,DALLAS,2023-05-31,EFF,in current copy; no change this week
TXR1501HI,JASON ROSE,Denton,FRISCO,2023-06-05,EFF,in current copy; no change this week
TXR1501HX,HUFSMITH ROAD,Harris,TOMBALL,2023-06-05,EFF,in current copy; no change this week
TXR1501ID,EMERSON FARMS - LAND DEVELOPMENT,Rockwall,ROCKWALL,2023-06-05,EFF,in current copy; no change this week
TXR1501IN,COLUMBIA LAKES,Brazoria,WEST COLUMBIA,2023-05-22,EFF,in current copy; no change this week
TXR1501JE,TXDOT 973 OPERATIONS CENTER,Travis,AUSTIN,2023-04-24,EFF,in current copy; no change this week
TXR1501JK,STONE CREEK ESTATES,Fort Bend,RICHMOND,2023-05-16,EFF,in current copy; no change this week
TXR1501KC,SPANISH OAKS HOMEBUILDING,Travis,AUSTIN,2023-05-31,EFF,in current copy; no change this week
TXR1501KO,SEDONA ADDITION STICKS & STONES DESIGNS,Lubbock,LUBBOCK,2023-06-03,EFF,in current copy; no change this week
TXR1501LG,RANCHO SAN GABRIEL,Williamson,GEORGETOWN,2023-04-13,EFF,in current copy; no change this week
TXR1501LQ,SIERRA VISTA WEST SECTION 9,Brazoria,IOWA COLONY,2023-06-05,EFF,in current copy; no change this week
TXR1501LT,ROSEMARY RIDGE - PHASE 5,Tarrant,FORT WORTH,2023-04-18,EFF,in current copy; no change this week
TXR1501LV,MCCRARY TRACT UNITS 3 AND 5,Bexar,SAN ANTONIO,2023-04-05,EFF,in current copy; no change this week
TXR1501LW,CAL CARTAGE - CEDAR PORT TRANSLOAD,Chambers,BAYTOWN,2023-05-29,EFF,in current copy; no change this week
TXR1501MA,KLEIN CAIN HIGH SCHOOL,,KLEIN,2023-03-06,EFF,in current copy; no change this week
TXR1501MB,ARBOR TRAILS,,COLLIN COUNTY,2023-03-08,EFF,in current copy; no change this week
