Permit,Business,Town,State,Trade,What changed,Earlier sealed copy,Later sealed copy
AK-I-21014,Columbia Distributing,Fairbanks,AK,Importer (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
AK-I-21015,Columbia Distributing,Juneau,AK,Importer (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
AK-P-21042,Columbia Distributing,Fairbanks,AK,Wholesaler (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
AK-P-21043,Columbia Distributing,Juneau,AK,Wholesaler (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
AL-P-21102,name not in our copy,Huntsville,AL,Wholesaler (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
AZ-I-21231,name not in our copy,Mesa,AZ,Importer (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
AZ-P-21326,name not in our copy,Scottsdale,AZ,Wholesaler (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
AZ-S-20081,Oro De Sonora,Phoenix,AZ,Distilled Spirits Plant,First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-I-24409,name not in our copy,San Diego,CA,Importer (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-I-24410,name not in our copy,Westminster,CA,Importer (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-I-24411,Amigos Agaveros,Riverside,CA,Importer (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-I-24412,name not in our copy,Denair,CA,Importer (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-I-24413,Vineyard Squadron Wines,Long Beach,CA,Importer (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-P-27537,Inner Cellars,Napa,CA,Wholesaler (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-P-27538,name not in our copy,Dana Point,CA,Wholesaler (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-P-27539,name not in our copy,Denair,CA,Wholesaler (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-P-27540,Vineyard Squadron Wines,Long Beach,CA,Wholesaler (Alcohol),First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-S-20606,SLO Fish Co,San Luis Obispo,CA,Distilled Spirits Plant,First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-S-20607,name not in our copy,San Diego,CA,Distilled Spirits Plant,First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-S-20608,name not in our copy,Santa Ynez,CA,Distilled Spirits Plant,First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-W-25837,Candia Cellars,Santa Rosa,CA,Wine Producer,First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-W-25838,Tuning Fork Wine Company,Napa,CA,Wine Producer,First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-W-25839,Thirsty Barrel Brewing,Penn Valley,CA,Wine Producer,First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-W-25840,name not in our copy,Napa,CA,Wine Producer,First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
CA-W-25841,Stanora Estate,Paso Robles,CA,Wine Producer,First listed 25 Aug 2026,19 Aug 2026,25 Aug 2026
