DCRAINTERNALNUMBER,ISSUE_DATE,PERMIT_ID,PERMIT_TYPE_NAME,PERMIT_SUBTYPE_NAME,PERMIT_CATEGORY_NAME,APPLICATION_STATUS_NAME,FULL_ADDRESS,SSL,ZONING,FEE_TYPE,FEES_PAID,CITY,STATE,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT,LASTMODIFIEDDATE,GLOBALID,CREATED_DATE,LAST_EDITED_DATE,OBJECTID,LAYER_YEAR
1684339209.0,2023-03-26,G84339209,SUPPLEMENTAL,PLUMBING AND GAS,NA,NULL,"124 11TH ST NE, WASHINGTON, DC 20002",0965 0060,RF-1,2.60 (PLUMBINGEFEE);26.00 (GASFIREPLACE),29,,,38.89113958,-76.99176597,400714.34,135921.72,,70078.0,,,6,ANC 6A,6A07,FIRST,108,Cluster 26,,,,,2026-08-17,{59DCBB16-1BED-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140402520,2023
2587288882.0,2023-03-26,P87288882,SUPPLEMENTAL,PLUMBING AND GAS,NA,PERMIT ISSUED,"1750 P ST NW, WASHINGTON, DC 20036",0157 0113,,,73,,,38.90941699,-77.04060685,396478.07,137951.41,,238156.0,,,2,ANC 2B,2B05,SECOND,208,Cluster 6,,,,,2023-03-28,{59DCBB16-838A-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140429045,2023
2518631478.0,2023-02-13,P18631478,SUPPLEMENTAL,PLUMBING AND GAS,NA,COMPLETED,"500 21ST ST NE, WASHINGTON, DC 20002",,,,29,,,38.89626862,-76.97479331,402186.64,136491.39,,15630.0,,,7,ANC 7D,7D05,FIFTH,507,Cluster 25,,,,,2024-04-01,{59DCBB16-919E-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140432649,2023
141305804.0,2023-03-26,E1305804,SUPPLEMENTAL,ELECTRICAL,NA,EXPIRED,"2400 EAST CAPITOL ST SE, WASHINGTON, DC 20003",1128 0804,,220.00 (REVISION);22.00 (ELECTRICEFEE);55.00 (INSTALL8),319,,,38.8897903063,-76.9718954058,402438.25,135772.32,,293222.0,,,7,ANC 7D,7D05,FIRST,108,Cluster 25,,,,,2026-08-17,{59DCBB16-9852-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140434365,2023
1459855397.0,2023-03-26,E59855397,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,"4604 43RD ST NW, WASHINGTON, DC 20016",1649 0051,,,31,,,38.95018176,-77.08406094,392713.36,142479.26,,277434.0,,,3,ANC 3E,3E01,SECOND,202,Cluster 11,,,,,2023-03-31,{59DCBB16-C71E-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140446345,2023
1412679369.0,2023-07-26,E12679369,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,"414 SHEPHERD ST NW, WASHINGTON, DC 20011",3237 0057,,,539,,,38.93971989,-77.01795155,398443.68,141314.66,,247909.0,,,4,ANC 4C,4C07,FOURTH,407,Cluster 18,,,,,2023-07-27,{59DCBB16-E3CE-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140453689,2023
1467433672.0,2023-06-13,E67433672,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,"1512 OKIE ST NE, WASHINGTON, DC 20002",4037 0010,,,344,,,38.91555376,-76.9819918,401561.76,138632.05,,312676.0,,,5,ANC 5D,5D02,FIFTH,506,Cluster 23,,,,,2023-06-15,{59DCBB17-74AA-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140490773,2023
1427934306.0,2023-03-26,E27934306,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,"853 52ND ST NE, WASHINGTON, DC 20019",5198 0173,,,136,,,38.90142229,-76.92545756,406465.97,137065.79,,81478.0,,,7,ANC 7C,7C06,SIXTH,608,Cluster 31,,,,,2023-03-28,{59DCBB17-93B8-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140498723,2023
1660667325.0,2023-03-26,G60667325,SUPPLEMENTAL,PLUMBING AND GAS,NA,COMPLETED,"901 MASSACHUSETTS AVE NW, WASHINGTON, DC 20001",0370 0848,D-4-R,26.00 (GASLINETEST);5.20 (PLUMBINGEFEE);26.00 (GASFIREPLACE),57,,,38.90367009,-77.02467863,397859.39,137313.0,,239811.0,,,2,ANC 2G,2G05,THIRD,307,Cluster 8,,,,,2026-08-17,{59DCBB17-CF82-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140514029,2023
2824212301239.0,2023-04-26,SOL2301239,CONSTRUCTION,SOLAR SYSTEM,NA,EXPIRED,"630 BURNS ST SE, WASHINGTON, DC 20019",5392 0054,R-2,12.50 (SOLFILEFEE);12.50 (SOLAREFEE);125.00 (SOLRESPV.1);125.00 (SOLFILFEE),275,,,38.88091608,-76.9434381,404907.71,134788.32,,2928.0,,,7,ANC 7E,7E01,SIXTH,605,Cluster 33,,,,,2026-08-18,{59DCBB19-BF52-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140640957,2023
