Invoice, Date, Amount
INV-2001, 2026-01-01, 1,250.00
INV-2002, 2026-01-02, 480.00
INV-2003, 2026-01-03, 96.75
INV-2004, 2026-01-04, 3,200.00
INV-2005, 2026-01-05, 145.20
INV-2006, 2026-01-06, 62.00
INV-2007, 2026-01-07, 878.35
INV-2008, 2026-01-08, 1,999.99
INV-2009, 2026-01-09, 40.00
INV-2010, 2026-01-10, 725.60
INV-2011, 2026-01-11, 310.10
INV-2012, 2026-01-12, 58.45
INV-2013, 2026-01-13, 2,400.00
INV-2014, 2026-01-14, 189.90
INV-2015, 2026-01-15, 1,050.00
INV-2016, 2026-01-16, 77.77
INV-2017, 2026-01-17, 640.25
INV-2018, 2026-01-18, 15.00
INV-2019, 2026-01-19, 432.80
INV-2020, 2026-01-20, 990.00
INV-2021, 2026-01-21, 205.55
INV-2022, 2026-01-22, 1,375.40
INV-2101, 2026-02-03, $1,200.00
INV-2102, 2026-02-03, $340.50
INV-2103, 2026-02-03, $89.99
INV-2201, 2026-02-10, 275.00
INV-2202, 132.40
inv-02401,  450.00
INV-2501, 2026-02-20, 900.00
